Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-1,-1,0.035996741273567445,1,-4.63032e-08,-1,-0.0026876384170211876,-1,0,צדק,Preverbal
1,2,1,-0.22960988160677065,-1,1.9554116e-06,1,-0.00477875071180589,-1,0,הלך,Preverbal
1,-10,-1,0.050727567757898995,1,-1.3467100000000005e-07,-1,-0.01408470747208529,-1,0,פרץ,Preverbal
1,-1,-1,-0.25111446864652454,-1,-2.60826e-07,-1,-0.007429010577253314,-1,0,המשיך,Preverbal
1,0,0,-0.1562521495521383,-1,6.2436659999999995e-06,1,-0.0023968422196400385,-1,0,זכה,Preverbal
1,-2,-1,-0.1171833609646304,-1,-1.7864744000000003e-06,-1,-0.010680340274538458,-1,0,בגד,Preverbal
1,3,1,-0.09839904133018482,-1,6.854999999999996e-07,1,-0.05807554974815038,-1,0,גמל,Preverbal
1,3,1,-0.004518220669641554,-1,6.731610000000001e-07,1,-0.005757353223469319,-1,0,שרר,Preverbal
1,-1,-1,-0.10317945603889835,-1,-6.467921e-06,-1,-0.017164906861512896,-1,0,הורשע,Preverbal
1,-2,-1,-0.14672510029139466,-1,-9.0294e-06,-1,-0.026309571847273727,-1,1,עמד,Preverbal
1,-2,-1,0.0015615761715773446,1,-7.056708e-07,-1,-0.015348009601454438,-1,0,בעט,Preverbal
1,-4,-1,0.019433828935831884,1,5.175060000000001e-07,1,-0.05269335113959345,-1,0,נידון,Preverbal
1,0,0,-0.14235736510596522,-1,6.686210000000001e-08,1,0.052138312582394986,1,0,היה,Preverbal
1,1,1,-0.0504422885002173,-1,-2.034107e-07,-1,-0.06354511645625432,-1,0,אמר,Preverbal
1,-2,-1,0.04773017078463605,1,3.93495e-06,1,-0.007816702314910662,-1,0,הושקע,Preverbal
1,-15,-1,0.09924832313853374,1,-8.830218e-06,-1,-0.003159171932299254,-1,0,שולב,Preverbal
1,-7,-1,0.05422870462894486,1,4.593570000000001e-06,1,0.04372742928577128,1,0,יזם,Preverbal
1,-20,-1,-0.06699548536422564,-1,-6.239999999999929e-11,-1,-0.022721250661750014,-1,0,הסתבך,Preverbal
1,0,0,0.03118699712837901,1,1.1030609e-06,1,0.0029350912792105444,1,0,נרשם,Preverbal
1,0,0,0.03160066587907831,1,-2.77751e-06,-1,-0.0011694070717023775,-1,0,ביקר,Preverbal
1,-1,-1,-0.1609054700094674,-1,4.499040000000001e-06,1,0.03645606888394631,1,1,הגיש,Preverbal
0,6,1,-0.058755358597421176,-1,8.011020000000002e-07,1,0.002601710808722457,1,0,הציג,Preverbal
0,9,1,-0.0007042615836675148,-1,3.8273750000000003e-07,1,0.015215032228021008,1,0,דייק,Preverbal
0,2,1,0.058696918528885846,1,-2.2012776e-05,-1,-0.004965447278810098,-1,0,סגר,Preverbal
0,-1,-1,-0.0937474470986465,-1,8.666200000000004e-08,1,0.050150413560041296,1,1,שלח,Preverbal
0,-3,-1,-0.19933394517613873,-1,2.5758000000000006e-07,1,0.013462374813436262,1,1,נחשב,Preverbal
0,1,1,-0.017618765453614266,-1,6.738465e-06,1,-0.028334547502277596,-1,0,ביקר,Preverbal
0,1,1,0.18758904245748967,1,-6.414600000000001e-07,-1,0.0004935256065805027,1,-1,היה,Preverbal
0,2,1,0.2051715929063626,1,-0.0045608656,-1,-0.003044557931410452,-1,-1,הבטיח,Preverbal
0,0,0,-0.10462626284050675,-1,1.2377088000000002e-06,1,-0.01797164760560671,-1,0,עמד,Preverbal
0,-1,-1,-0.048279417641528516,-1,-9.126966e-06,-1,-0.06544337897636676,-1,1,האמין,Preverbal
0,-3,-1,-0.05892151059012367,-1,0.004547607,1,-0.004754620722822567,-1,0,פוצץ,Preverbal
