Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Tāpēc sēdāmies ar sievu pie galda , paņēmām divas baltas papīra lapas , pārdalījām katru uz pusēm , lai vienā var rakstīt to , ko gribam , bet otrā – ko kategoriski negribam .",Tāpēc sēdāmies ar sievu,Tāpēc sēdāmies pie galda,Tāpēc sēdāmies ar sievu,Tāpēc sēdāmies pie galda,ar sieva,pie galds,sēsties,ar sievu,pie galda,2,2,ar,pie,sieva,galds,NOUN,NOUN,prepositional,prepositional,Postverbal,Latvian
"Labajā pusē uz tahtas ar kājām pret logu guļ oma , kreisajā , uz izvelkamā dīvāna , ar galvu pret logu — opaps .",Labajā pusē uz tahtas,Labajā pusē ar kājām pret logu,Labajā pusē uz tahtas,Labajā pusē ar kājām,uz tahta,ar kāja,gulēt,uz tahtas,ar kājām pret logu,2,4,uz,ar,tahta,kāja,NOUN,NOUN,prepositional,prepositional,Preverbal,Latvian
"Naga ataugšanas process no pamatnes līdz naga galam ilgst apmēram sešus mēnešus , bet nagu augšanas ātrums ir apmēram trīs milimetri mēnesī .",Naga ataugšanas process no pamatnes,Naga ataugšanas process līdz naga galam,Naga ataugšanas process no pamatnes,Naga ataugšanas process līdz galam,no pamatne,līdz gals,ilgt,no pamatnes,līdz naga galam,2,3,no,līdz,pamatne,gals,NOUN,NOUN,prepositional,prepositional,Preverbal,Latvian
"Pirms došanās uz ielas , rokas jāieziež ar krēmu , lai tām būtu aizsargslānis .",Pirms došanās,"uz ielas ,",Pirms došanās,uz ielas,pirms došanās,uz iela,ieziest,Pirms došanās,"uz ielas ,",2,3,pirms,uz,došanās,iela,NOUN,NOUN,prepositional,prepositional,Preverbal,Latvian
"Nesaudzīgas mežu izciršanas rezultātā Baltijas jūras un Rīgas līča piekrastē 18. un 19. gs. veidojās ceļojošās kāpas , kā rezultātā smiltis vēja iedarbības dēļ pārvietojās no krasta uz zemes iekšieni .","Nesaudzīgas mežu izciršanas rezultātā Baltijas jūras un Rīgas līča piekrastē 18. un 19. gs. veidojās ceļojošās kāpas , kā rezultātā smiltis vēja iedarbības dēļ pārvietojās no krasta","Nesaudzīgas mežu izciršanas rezultātā Baltijas jūras un Rīgas līča piekrastē 18. un 19. gs. veidojās ceļojošās kāpas , kā rezultātā smiltis vēja iedarbības dēļ pārvietojās uz zemes iekšieni","Nesaudzīgas mežu izciršanas rezultātā Baltijas jūras un Rīgas līča piekrastē 18. un 19. gs. veidojās ceļojošās kāpas , kā rezultātā smiltis vēja iedarbības dēļ pārvietojās no krasta","Nesaudzīgas mežu izciršanas rezultātā Baltijas jūras un Rīgas līča piekrastē 18. un 19. gs. veidojās ceļojošās kāpas , kā rezultātā smiltis vēja iedarbības dēļ pārvietojās uz iekšieni",no krasts,uz iekšiene,pārvietoties,no krasta,uz zemes iekšieni,2,3,no,uz,krasts,iekšiene,NOUN,NOUN,prepositional,prepositional,Postverbal,Latvian
Tieši tobrīd viņi vizinājās pa šauriem celiņiem pie Neapoles .,Tieši tobrīd viņi vizinājās pa šauriem celiņiem,Tieši tobrīd viņi vizinājās pie Neapoles,Tieši tobrīd viņi vizinājās pa celiņiem,Tieši tobrīd viņi vizinājās pie Neapoles,pa celiņš,pie Neapole,vizināties,pa šauriem celiņiem,pie Neapoles,3,2,pa,pie,celiņš,Neapole,NOUN,PROPN,prepositional,prepositional,Postverbal,Latvian
"— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies no šosejas uz grantētā lielceļa , kas cauri diviem sīkiem ciematiņiem veda uz Mežmaļiem .","— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies no šosejas","— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies uz grantētā lielceļa , kas cauri diviem sīkiem ciematiņiem veda uz Mežmaļiem","— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies no šosejas","— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies uz lielceļa",no šoseja,uz lielceļš,nogriesties,no šosejas,"uz grantētā lielceļa , kas cauri diviem sīkiem ciematiņiem veda uz Mežmaļiem",2,12,no,uz,šoseja,lielceļš,NOUN,NOUN,prepositional,prepositional,Postverbal,Latvian
Viņš izkāpa un Federikai aiz muguras aši uz lūpām nobučoja Helēnu .,Viņš izkāpa un Federikai aiz muguras,Viņš izkāpa un uz lūpām,Viņš izkāpa un aiz muguras,Viņš izkāpa un uz lūpām,aiz mugura,uz lūpa,nobučot,Federikai aiz muguras,uz lūpām,3,2,aiz,uz,mugura,lūpa,NOUN,NOUN,prepositional,prepositional,Preverbal,Latvian
Pirms diviem mēnešiem no Ustjkutas izbrauca 26 cilvēki 10 laivās .,Pirms diviem mēnešiem,no Ustjkutas,Pirms mēnešiem,no Ustjkutas,pirms mēnesis,no Ustjkuta,izbraukt,Pirms diviem mēnešiem,no Ustjkutas,3,2,pirms,no,mēnesis,Ustjkuta,NOUN,PROPN,prepositional,prepositional,Preverbal,Latvian
"Uz galda no astotās krūzes ar saulespuķēm cēlās garaiņu pavedieni , un šķidrais zirnekļa adīklis aizadīja ciet loga aci , — logam vēl nāca miegs .",Uz galda,no astotās krūzes ar saulespuķēm,Uz galda,no krūzes,uz galds,no krūze,celties,Uz galda,no astotās krūzes ar saulespuķēm,2,5,uz,no,galds,krūze,NOUN,NOUN,prepositional,prepositional,Preverbal,Latvian
