Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,-3,-1,-0.17176355894161316,-1,-1.2180700000000005e-06,-1,0.03373618461417682,1,0,избухна,Preverbal
1,0,0,-0.11563049804635211,-1,-1.071222e-07,-1,0.02982760979347565,1,0,хвърча,Preverbal
1,0,0,-0.06107891086506539,-1,8.6361e-06,1,-0.03997837821884187,-1,0,спечеля,Preverbal
1,9,1,-0.17069628838131676,-1,6.612599780999999e-06,1,0.014021161716703479,1,0,насроча,Preverbal
1,-1,-1,-0.09353131006923651,-1,-4.7828583e-07,-1,0.06666786122829826,1,0,организирам,Preverbal
1,0,0,-0.03908091375418671,-1,9.72659e-06,1,0.10513734397128804,1,0,следва,Preverbal
1,1,1,0.16291300252611352,1,-9.57816e-06,-1,0.01462785106404968,1,0,вляза,Preverbal
1,-2,-1,-0.1525849520715375,-1,5.443020000000001e-06,1,-0.03646177779818166,-1,0,нямам,Preverbal
1,0,0,-0.09848569652845657,-1,-1.407069e-05,-1,-0.05966038168699467,-1,-1,започна,Preverbal
1,-2,-1,0.37415205825075953,1,-8.683900000000002e-07,-1,0.006544656741165056,1,1,има,Preverbal
1,1,1,-0.1717400243427385,-1,3.2546040000000003e-06,1,0.014839991850503054,1,0,има,Preverbal
1,-2,-1,-0.17626221208769943,-1,1.4610800000000002e-06,1,0.005164298240883991,1,0,въведа,Preverbal
1,0,0,0.015807811403627553,1,-8.757900000000003e-07,-1,0.0595561734480729,1,0,въведа,Preverbal
1,0,0,-0.4275937581955563,-1,9.967237999999999e-06,1,0.087992909452901,1,0,нямам,Preverbal
1,-2,-1,-0.013609481840541754,-1,9.4648e-07,1,-0.04458943403839488,-1,0,ща,Preverbal
1,-2,-1,-0.06693049615827962,-1,2.8364000000000002e-08,1,0.008208123436825754,1,0,уцеля,Preverbal
1,-1,-1,-0.089336602831809,-1,3.5922e-07,1,0.008251303893946793,1,0,открадна,Preverbal
1,0,0,-0.02337710101330448,-1,-1.0923579999999999e-07,-1,0.01818972822732945,1,0,играя,Preverbal
1,-1,-1,0.008746238198437527,1,-5.565232999999999e-05,-1,0.03264615477536437,1,1,има,Preverbal
1,1,1,0.1765626220184583,1,-2.7926200000000007e-06,-1,0.004587941835250742,1,0,раста,Preverbal
0,-4,-1,0.10897929115989308,1,-2.1892498049999998e-05,-1,-0.04429654660645338,-1,0,плащам,Preverbal
0,-1,-1,-0.021359452452521882,-1,1.07162e-05,1,-0.03745788016524332,-1,0,изпея,Preverbal
0,-1,-1,-0.043680758834471006,-1,-1.4752593e-07,-1,-0.005332962220849002,-1,0,изпреварвам,Preverbal
0,2,1,-0.06186392320789169,-1,-3.0444400000000006e-05,-1,-0.010172027061240485,-1,0,позвъня,Preverbal
0,1,1,-0.02984493602579534,-1,8.608131e-05,1,0.0002796487521125046,1,-1,информирам,Preverbal
0,0,0,0.1397643316910876,1,-1.1246400000000001e-05,-1,-0.05938631233381947,-1,0,разследвам,Preverbal
0,0,0,0.10279712259289185,1,-9.071952e-05,-1,-0.009769714222757353,-1,0,умея,Preverbal
0,1,1,-0.21455632690268264,-1,1.754574e-05,1,0.012037514331469434,1,0,имам,Preverbal
0,1,1,-0.21455632690268264,-1,1.754574e-05,1,0.012037514331469434,1,0,имам,Preverbal
0,1,1,0.035957492424328656,1,-1.967709e-06,-1,-0.03923525100626857,-1,0,карам,Preverbal
0,3,1,-0.07120635245683526,-1,1.673063e-07,1,-0.035038473839224815,-1,0,обвиня,Preverbal
0,6,1,0.021500678282810756,1,-3.98234893e-06,-1,-0.10816111849997018,-1,0,има,Preverbal
0,0,0,0.4211212823181419,1,-7.051499999999999e-06,-1,-0.007934791876853753,-1,-1,започна,Preverbal
0,4,1,0.20192724006694104,1,-3.888899999999997e-07,-1,-0.02664587946238145,-1,-1,водя,Preverbal
0,5,1,0.15429580301657592,1,2.2242684999999995e-05,1,0.037143728550151356,1,0,изчезна,Preverbal
0,0,0,0.18142622295554178,1,-3.558092e-05,-1,-0.044458118879263264,-1,0,прекратя,Preverbal
0,-3,-1,0.10207851568860318,1,-3.07764e-09,-1,-0.030865304542762317,-1,0,очаквам,Preverbal
0,4,1,0.03267698880701857,1,-9.3669e-06,-1,-0.026401413540572072,-1,-1,обстрелвам,Preverbal
0,0,0,-0.040031338531070555,-1,8.642999999999999e-07,1,0.05745137427145891,1,0,коментирам,Preverbal
0,-3,-1,-0.06371201603584362,-1,4.193052e-06,1,-0.02099147061093498,-1,0,замина,Preverbal
0,6,1,0.3029581805136186,1,1.1358700000000002e-06,1,0.0013662069134798838,1,0,оповестя,Preverbal
0,0,0,-0.24079683061586105,-1,1.9406499999999995e-05,1,-0.0032184582833401087,-1,0,мога,Preverbal
0,-1,-1,0.24737470511284917,1,6.0627e-07,1,-0.01982486662562949,-1,0,основа,Preverbal
0,-2,-1,-0.2003607208205382,-1,-1.7435000000000002e-07,-1,0.006332085398501386,1,0,обсъдя,Preverbal
1,0,0,-0.12735740551259775,-1,-1.30344e-07,-1,-0.016977006863390598,-1,0,свирна,Postverbal
1,0,0,0.22006769109556718,1,5.01698463e-08,1,-0.02193059957826049,-1,0,застана,Postverbal
1,2,1,-0.2370041802140594,-1,6.7355499999999996e-09,1,-0.01889940475423646,-1,0,пламна,Postverbal
1,0,0,0.006842041908376922,1,-3.9655316000000003e-05,-1,-0.014765398653699469,-1,1,пътувам,Postverbal
1,4,1,-0.17236319533893102,-1,-6.6529680000000005e-06,-1,-0.02043664519190247,-1,0,проведа,Postverbal
1,5,1,-0.20016731882238242,-1,-1.3698933000000002e-07,-1,-0.003934728208041194,-1,0,седна,Postverbal
1,3,1,0.11009858178870457,1,-6.338833e-06,-1,-0.032053634135978615,-1,1,живея,Postverbal
1,12,1,0.06375279790373231,1,-1.4765999999999998e-06,-1,0.0003951120897986993,1,0,прочета,Postverbal
1,-1,-1,-0.029138361396897017,-1,-5.2483399883000003e-08,-1,-0.0019553618572584197,-1,0,изграждам,Postverbal
