Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Wara l- workshop li konna attendejna għalih jiena u l- Onor . Deo Debattista f' Londra matul is- sajf li għadda , kien inħass il- ħsieb li tajjeb li titwaqqaf Association for Public Accounts Committees tal- Commonwealth u kien ġie stabbilit a steering committee .",Wara l- workshop li konna attendejna għalih jiena u l- Onor . Deo Debattista f' Londra,Wara l- workshop li konna attendejna għalih jiena u l- Onor . Deo Debattista matul is- sajf li għadda,Wara l- workshop li konna attendejna għalih jiena u l- Onor . Deo Debattista f' Londra,Wara l- workshop li konna attendejna għalih jiena u l- Onor . Deo Debattista matul sajf,_ _,_ _,_,f' Londra,matul is- sajf li għadda,2,5,_,_,_,_,PROPN,NOUN,prepositional,prepositional,Postverbal,Maltese
"Wara dik il- laqgħa beda għaddej il- proċess - ħafna mill- prinċipji tal- Kostituzzjoni diġà qegħdin f' dan id- dokument - biex tiġi fformulata the first draft constitution li se titqassam lill- Membri kollha tal- PACs madwar il- Commonwealth bil- ħsieb li ssir konferenza f' Ġunju marbuta mal- Westminster workshop , biex din tiġi ratifikata , maqbula u ppreżentata lill- Commwealth Parliamentary Association ( CPA ) biex dawn japprovawha u allura tidħol bħala parti mill- istruttura tal- Commonwealth u jkun hemm ukoll endorsement mill- heads of Government waqt iċ- CHOGM li se jsir f' Novembru ta' din is- sena proprju f' Malta .","Wara dik il- laqgħa beda għaddej il- proċess - ħafna mill- prinċipji tal- Kostituzzjoni diġà qegħdin f' dan id- dokument - biex tiġi fformulata the first draft constitution li se titqassam lill- Membri kollha tal- PACs madwar il- Commonwealth bil- ħsieb li ssir konferenza f' Ġunju marbuta mal- Westminster workshop , biex din tiġi ratifikata , maqbula u ppreżentata lill- Commwealth Parliamentary Association ( CPA ) biex dawn japprovawha u allura tidħol bħala parti mill- istruttura tal- Commonwealth u jkun hemm ukoll endorsement mill- heads of Government waqt iċ- CHOGM li se jsir f' Novembru ta' din is- sena","Wara dik il- laqgħa beda għaddej il- proċess - ħafna mill- prinċipji tal- Kostituzzjoni diġà qegħdin f' dan id- dokument - biex tiġi fformulata the first draft constitution li se titqassam lill- Membri kollha tal- PACs madwar il- Commonwealth bil- ħsieb li ssir konferenza f' Ġunju marbuta mal- Westminster workshop , biex din tiġi ratifikata , maqbula u ppreżentata lill- Commwealth Parliamentary Association ( CPA ) biex dawn japprovawha u allura tidħol bħala parti mill- istruttura tal- Commonwealth u jkun hemm ukoll endorsement mill- heads of Government waqt iċ- CHOGM li se jsir proprju f' Malta","Wara dik il- laqgħa beda għaddej il- proċess - ħafna mill- prinċipji tal- Kostituzzjoni diġà qegħdin f' dan id- dokument - biex tiġi fformulata the first draft constitution li se titqassam lill- Membri kollha tal- PACs madwar il- Commonwealth bil- ħsieb li ssir konferenza f' Ġunju marbuta mal- Westminster workshop , biex din tiġi ratifikata , maqbula u ppreżentata lill- Commwealth Parliamentary Association ( CPA ) biex dawn japprovawha u allura tidħol bħala parti mill- istruttura tal- Commonwealth u jkun hemm ukoll endorsement mill- heads of Government waqt iċ- CHOGM li se jsir f' Novembru","Wara dik il- laqgħa beda għaddej il- proċess - ħafna mill- prinċipji tal- Kostituzzjoni diġà qegħdin f' dan id- dokument - biex tiġi fformulata the first draft constitution li se titqassam lill- Membri kollha tal- PACs madwar il- Commonwealth bil- ħsieb li ssir konferenza f' Ġunju marbuta mal- Westminster workshop , biex din tiġi ratifikata , maqbula u ppreżentata lill- Commwealth Parliamentary Association ( CPA ) biex dawn japprovawha u allura tidħol bħala parti mill- istruttura tal- Commonwealth u jkun hemm ukoll endorsement mill- heads of Government waqt iċ- CHOGM li se jsir f' Malta",_ _,_ _,_,f' Novembru ta' din is- sena,proprju f' Malta,6,3,_,_,_,_,PROPN,PROPN,prepositional,prepositional,Postverbal,Maltese
"Ta' nota pożittiva hija li sussegwentement għal din il- laqgħa , ittieħdet id- deċiżjoni li l- konferenza fejn se tiġi diskussa din il- Kostituzzjoni u t- twaqqif tagħha se ssir f' Malta , b' rabta wkoll mal- fatt li se jkun hawn iċ- CHOGM .","Ta' nota pożittiva hija li sussegwentement għal din il- laqgħa , ittieħdet id- deċiżjoni li l- konferenza fejn se tiġi diskussa din il- Kostituzzjoni u t- twaqqif tagħha se ssir f' Malta","Ta' nota pożittiva hija li sussegwentement għal din il- laqgħa , ittieħdet id- deċiżjoni li l- konferenza fejn se tiġi diskussa din il- Kostituzzjoni u t- twaqqif tagħha se ssir b' rabta wkoll mal- fatt li se jkun hawn iċ- CHOGM","Ta' nota pożittiva hija li sussegwentement għal din il- laqgħa , ittieħdet id- deċiżjoni li l- konferenza fejn se tiġi diskussa din il- Kostituzzjoni u t- twaqqif tagħha se ssir f' Malta","Ta' nota pożittiva hija li sussegwentement għal din il- laqgħa , ittieħdet id- deċiżjoni li l- konferenza fejn se tiġi diskussa din il- Kostituzzjoni u t- twaqqif tagħha se ssir b' rabta",_ _,_ _,_,f' Malta,b' rabta wkoll mal- fatt li se jkun hawn iċ- CHOGM,2,11,_,_,_,_,PROPN,NOUN,prepositional,prepositional,Postverbal,Maltese
"Irrid niddikjara wkoll li qabel ma Henley &amp; Partners ġew magħżula bħala operaturi tal- programm wara sejħa pubblika , jiena ma kontx konoxxenti tas- soċjetà Henley &amp; Partners jew ta' xi wieħed mill- membri li jiffurmawha .",Irrid niddikjara wkoll li qabel ma Henley &amp; Partners ġew magħżula bħala operaturi tal- programm,Irrid niddikjara wkoll li qabel ma Henley &amp; Partners ġew magħżula wara sejħa pubblika,Irrid niddikjara wkoll li qabel ma Henley &amp; Partners ġew magħżula bħala operaturi,Irrid niddikjara wkoll li qabel ma Henley &amp; Partners ġew magħżula wara sejħa,_ _,_ _,_,bħala operaturi tal- programm,wara sejħa pubblika,4,3,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Maltese
"Din l- operazzjoni bqajt nagħmilha minn żmien għal żmien , għax il- bankijiet kienu dejjem sejrin mill- ħażin għall- agħar .",Din l- operazzjoni bqajt nagħmilha minn żmien,Din l- operazzjoni bqajt nagħmilha għal żmien,Din l- operazzjoni bqajt nagħmilha minn żmien,Din l- operazzjoni bqajt nagħmilha għal żmien,_ _,_ _,_,minn żmien,għal żmien,2,2,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Postverbal,Maltese
"Hekk kont smajt għall- ewwel darba l- Ħames Sinfonija ta' Beethoven , fil- klassi tiegħi matul il- brejk , b' Reno b' subgħajh lesti fuq il- buttuna tal- pause biex meta jidhirlu jwaqqaf il- mużika u jikkummentali dwar dak li jkun ġej .","Hekk kont smajt għall- ewwel darba l- Ħames Sinfonija ta' Beethoven , fil- klassi tiegħi matul il- brejk","Hekk kont smajt għall- ewwel darba l- Ħames Sinfonija ta' Beethoven , fil- klassi tiegħi b' Reno b' subgħajh lesti fuq il- buttuna tal- pause biex meta jidhirlu jwaqqaf il- mużika u jikkummentali dwar dak li jkun ġej","Hekk kont smajt għall- ewwel darba l- Ħames Sinfonija ta' Beethoven , fil- klassi tiegħi matul brejk","Hekk kont smajt għall- ewwel darba l- Ħames Sinfonija ta' Beethoven , fil- klassi tiegħi b' Reno",_ _,_ _,_,matul il- brejk,b' Reno b' subgħajh lesti fuq il- buttuna tal- pause biex meta jidhirlu jwaqqaf il- mużika u jikkummentali dwar dak li jkun ġej,3,23,_,_,_,_,NOUN,PROPN,prepositional,prepositional,Postverbal,Maltese
Xaħxieħ Vjola tabbanduna kull xorta ta' kronoloġija ; taqbeż minn aneddotu għal ieħor mingħajr ma tikkunsidra x' għandu jiġi l- ewwel u x' għandu jiġi wara,Xaħxieħ Vjola tabbanduna kull xorta ta' kronoloġija ; taqbeż minn aneddotu,Xaħxieħ Vjola tabbanduna kull xorta ta' kronoloġija ; taqbeż għal ieħor,Xaħxieħ Vjola tabbanduna kull xorta ta' kronoloġija ; taqbeż minn aneddotu,Xaħxieħ Vjola tabbanduna kull xorta ta' kronoloġija ; taqbeż għal ieħor,_ _,_ _,_,minn aneddotu,għal ieħor,2,2,_,_,_,_,NOUN,ADJ,prepositional,prepositional,Postverbal,Maltese
In- novelli Post Battal u Taħt Fanal Mitfi huma mimlijin flashbacks li minn ħin għal ieħor irażżnu n- nixxiegħa tal- ġrajja .,In- novelli Post Battal u Taħt Fanal Mitfi huma mimlijin flashbacks li minn ħin,In- novelli Post Battal u Taħt Fanal Mitfi huma mimlijin flashbacks li għal ieħor,In- novelli Post Battal u Taħt Fanal Mitfi huma mimlijin flashbacks li minn ħin,In- novelli Post Battal u Taħt Fanal Mitfi huma mimlijin flashbacks li għal ieħor,_ _,_ _,_,minn ħin,għal ieħor,2,2,_,_,_,_,NOUN,ADJ,prepositional,prepositional,Preverbal,Maltese
"Fi Qniepen , ngħidu aħna , Żahra , b' sensiela ta' daqqiet impressjonistiċi , jirnexxilu jpitter maltempata waħxija li donnha tqanqlet minn qawwiet sopranaturali .",Fi Qniepen,", b' sensiela ta' daqqiet impressjonistiċi ,",Fi Qniepen,b' sensiela,_ _,_ _,_,Fi Qniepen,", b' sensiela ta' daqqiet impressjonistiċi ,",2,7,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Preverbal,Maltese
"F' Xaħxieħ Vjola , Turu , f' estru ta' ġenn jistupra 'l martu fuq il- bejt bil- bombi neżlin waqt ħbit mill- ajru .","F' Xaħxieħ Vjola ,",f' estru ta' ġenn,F' Xaħxieħ,f' estru,_ _,_ _,_,"F' Xaħxieħ Vjola ,",f' estru ta' ġenn,4,4,_,_,_,_,NOUN,NOUN,prepositional,prepositional,Preverbal,Maltese
