Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Kon ñooñu mujj nekk Dammeel Kajoor , ay doxandéem lañu yu nekkoon ca réew moomu ca njëlbéen .","Kon ñooñu mujj nekk Dammeel Kajoor , ay doxandéem lañu yu nekkoon ca réew moomu","Kon ñooñu mujj nekk Dammeel Kajoor , ay doxandéem lañu yu nekkoon ca njëlbéen","Kon ñooñu mujj nekk Dammeel Kajoor , ay doxandéem lañu yu nekkoon ca réew","Kon ñooñu mujj nekk Dammeel Kajoor , ay doxandéem lañu yu nekkoon ca njëlbéen",ca réew,ca njëlbéen,nekk,ca réew moomu,ca njëlbéen,3,2,ca,ca,réew,njëlbéen,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
"Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon biir dex gi , ca Waalo .","Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon biir dex gi","Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon , ca Waalo","Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon biir dex","Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon ca Waalo",biir dex,ca Waalo,nekk,biir dex gi,", ca Waalo",3,3,biir,ca,dex,Waalo,NOUN,PROPN,prepositional,prepositional,Postverbal,Wolof
Yilifoon na li dale ca Mbàmbulaanu Atlas ba Lag de Geer .,Yilifoon na li dale ca Mbàmbulaanu Atlas,Yilifoon na li dale ba Lag de Geer,Yilifoon na li dale ca Mbàmbulaanu,Yilifoon na li dale ba Lag,ca Mbàmbulaan,ba Lag,dale,ca Mbàmbulaanu Atlas,ba Lag de Geer,3,4,ca,ba,Mbàmbulaan,Lag,NOUN,PROPN,prepositional,prepositional,Postverbal,Wolof
Barag daawul génn ci am at lu dul ñaari yoon : bu njëkk bi ngir jiite lëlu xare .,Barag daawul génn ci am at,Barag daawul génn lu dul ñaari yoon : bu njëkk bi ngir jiite lëlu xare,Barag daawul génn ci at,Barag daawul génn lu yoon,ci at,lu yoon,génn,ci am at,lu dul ñaari yoon : bu njëkk bi ngir jiite lëlu xare,3,12,ci,lu,at,yoon,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
"Kàjj moom lañu fal ci ndijjooru dex gi , li-ko-dale ca Aarnik ba fa dex gi sottee .",Kàjj moom lañu fal ci ndijjooru dex gi,"Kàjj moom lañu fal , li-ko-dale ca Aarnik",Kàjj moom lañu fal ci ndijjooru,Kàjj moom lañu fal li-ko-dale ca Aarnik,ci ndijjoor,li-ko-dale ca Aarnik,fal,ci ndijjooru dex gi,", li-ko-dale ca Aarnik",4,4,ci,li-ko-dale ca,ndijjoor,Aarnik,NOUN,PROPN,prepositional,prepositional,Postverbal,Wolof
Dëkkug lebu yi ci Ndakaaru mi ngi am ginnaaw ay duusi gàddaay ci diggante xarnu XV ak XVI .,Dëkkug lebu yi ci Ndakaaru mi ngi am ginnaaw ay duusi gàddaay,Dëkkug lebu yi ci Ndakaaru mi ngi am ci diggante xarnu XV ak XVI,Dëkkug lebu yi ci Ndakaaru mi ngi am ginnaaw duusi,Dëkkug lebu yi ci Ndakaaru mi ngi am ci xarnu,ginnaaw duus,ci xarnu,am,ginnaaw ay duusi gàddaay,ci diggante xarnu XV ak XVI,4,6,ginnaaw,ci,duus,xarnu,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
"Laataa seenug càmpu ci Senegaal , ab tukki bu gudd mu a leen war a jëlee ca penku Afrik ba ci sowwu Afrik jaare ko ci bej-gànnaaru gox bi .","Laataa seenug càmpu ci Senegaal , ab tukki bu gudd mu a leen war a jëlee ca penku Afrik","Laataa seenug càmpu ci Senegaal , ab tukki bu gudd mu a leen war a jëlee ba ci sowwu Afrik","Laataa seenug càmpu ci Senegaal , ab tukki bu gudd mu a leen war a jëlee ca penku","Laataa seenug càmpu ci Senegaal , ab tukki bu gudd mu a leen war a jëlee ba ci sowwu",ca penk,ba ci sowwu,jële,ca penku Afrik,ba ci sowwu Afrik,3,4,ca,ba ci,penk,sowwu,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
"Ndànk-ndànk ñu di toog , ci ndoorteel gi , ci barab yi soose yi nekkul woon .","Ndànk-ndànk ñu di toog , ci ndoorteel gi ,",Ndànk-ndànk ñu di toog ci barab yi soose yi nekkul woon,Ndànk-ndànk ñu di toog ci ndoorteel,Ndànk-ndànk ñu di toog ci barab,ci ndoorteel,ci barab,toog,", ci ndoorteel gi ,",ci barab yi soose yi nekkul woon,5,7,ci,ci,ndoorteel,barab,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
"Wuññee na ko jaare ko ci gëstoom yooyu mu defoon ci mbind yi nu yatt ci doj yi ci Isipt , ak ci gëstu yi mu defoon ci tàdd yu ñu taaniit yi .",Wuññee na ko jaare ko ci gëstoom yooyu mu defoon ci mbind yi nu yatt ci doj yi,Wuññee na ko jaare ko ci gëstoom yooyu mu defoon ci Isipt,Wuññee na ko jaare ko ci gëstoom yooyu mu defoon ci mbind,Wuññee na ko jaare ko ci gëstoom yooyu mu defoon ci Isipt,ci mbind,ci Isipt,def,ci mbind yi nu yatt ci doj yi,ci Isipt,8,2,ci,ci,mbind,Isipt,NOUN,PROPN,prepositional,prepositional,Postverbal,Wolof
Kon goxub Afrik sañ na a ndamu ci li mu indil ag nite ci ay liggéey yu am solo .,Kon goxub Afrik sañ na a ndamu ci li mu indil ag nite,Kon goxub Afrik sañ na a ndamu ci ay liggéey yu am solo,Kon goxub Afrik sañ na a ndamu ci li,Kon goxub Afrik sañ na a ndamu ci liggéey,ci bi,ci liggéey,ndamu,ci li mu indil ag nite,ci ay liggéey yu am solo,6,6,ci,ci,bi,liggéey,PRON,NOUN,prepositional,prepositional,Postverbal,Wolof
"Ñaari nguur yii ñu ngi leen taxawal ci lu tollu ak xarnub fukk ak ñeent g.j , ci loxol ay xarekat yu bawoo ca Imbraatóoru Mali ga , Sinjata Kayta yabaloon leen .",Ñaari nguur yii ñu ngi leen taxawal ci lu tollu ak xarnub fukk ak ñeent g.j,"Ñaari nguur yii ñu ngi leen taxawal , ci loxol ay xarekat yu bawoo ca Imbraatóoru Mali ga , Sinjata Kayta yabaloon leen",Ñaari nguur yii ñu ngi leen taxawal ci lu,Ñaari nguur yii ñu ngi leen taxawal ci loxol,ci bu,ci loxo,taxawal,ci lu tollu ak xarnub fukk ak ñeent g.j,", ci loxol ay xarekat yu bawoo ca Imbraatóoru Mali ga , Sinjata Kayta yabaloon leen",9,16,ci,ci,bu,loxo,PRON,NOUN,prepositional,prepositional,Postverbal,Wolof
Jolof mu a doonoon nguur gi gënoon a mag ci Senegaal ci jamono yooyu .,Jolof mu a doonoon nguur gi gënoon a mag ci Senegaal,Jolof mu a doonoon nguur gi gënoon a mag ci jamono yooyu,Jolof mu a doonoon nguur gi gënoon a mag ci Senegaal,Jolof mu a doonoon nguur gi gënoon a mag ci jamono,ci Senegaal,ci jamono,mag,ci Senegaal,ci jamono yooyu,2,3,ci,ci,Senegaal,jamono,PROPN,NOUN,prepositional,prepositional,Postverbal,Wolof
Jolof mujj na nekk réew ni yeneen yi ci xarnub XVI ba XIX .,Jolof mujj na nekk réew ni yeneen yi,Jolof mujj na nekk réew ci xarnub XVI ba XIX,Jolof mujj na nekk réew ni yeneen,Jolof mujj na nekk réew ci xarnub,ni beneen,ci xarnu,nekk,ni yeneen yi,ci xarnub XVI ba XIX,3,5,ni,ci,beneen,xarnu,PRON,NOUN,prepositional,prepositional,Postverbal,Wolof
Ci noonu la Jolof tàbbee ci loxoy Faraas ci 18 rakki gammu 1885 .,Ci noonu la Jolof tàbbee ci loxoy Faraas,Ci noonu la Jolof tàbbee ci 18 rakki gammu 1885,Ci noonu la Jolof tàbbee ci loxoy,Ci noonu la Jolof tàbbee ci rakki,ci loxo,ci rakk,tàbb,ci loxoy Faraas,ci 18 rakki gammu 1885,3,5,ci,ci,loxo,rakk,NOUN,NOUN,prepositional,prepositional,Postverbal,Wolof
