Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,0,0,-0.009646492004999951,-1,-4.482599999999998e-06,-1,,,0,जुड़,Preverbal
1,0,0,0.12464632847846685,1,-4.4639813999999995e-07,-1,,,0,हो,Preverbal
1,2,1,0.2112281801453078,1,1.5740699999999997e-06,1,,,-1,पहुँच,Preverbal
1,-1,-1,-0.08308350090393748,-1,2.278523e-06,1,,,0,डाल,Preverbal
1,1,1,0.29135649597049634,1,2.6814999999999993e-05,1,,,-1,कर,Preverbal
1,0,0,-0.07585283369547943,-1,-3.4353000000000015e-05,-1,,,0,जीत,Preverbal
1,0,0,0.02384819356593018,1,-3.64334136e-05,-1,,,0,दे,Preverbal
1,-1,-1,0.019572329354978796,1,-8.119799999999999e-07,-1,,,0,कर,Preverbal
1,1,1,0.1336594978534159,1,3.3813000000000006e-06,1,,,0,चला,Preverbal
1,-3,-1,0.3541057131547417,1,-3.3702880000000004e-05,-1,,,0,ढक,Preverbal
1,2,1,0.32011939591122773,1,7.28715e-06,1,,,-1,कर,Preverbal
1,4,1,-0.0798907654710308,-1,-7.564600000000001e-05,-1,,,0,घूम,Preverbal
1,3,1,0.072313040618571,1,-2.9642500000000005e-06,-1,,,0,सज,Preverbal
1,0,0,-0.013436603005637121,-1,-1.9748100000000004e-06,-1,,,0,जला,Preverbal
1,0,0,0.03599721429476155,1,7.611653e-08,1,,,0,मना,Preverbal
1,-5,-1,-0.07191470053576687,-1,6.983400000000002e-06,1,,,0,निहार,Preverbal
1,-1,-1,0.08139317007799846,1,-3.485615e-06,-1,,,0,पहुँच,Preverbal
1,0,0,0.048259192656875616,1,-8.050400000000002e-06,-1,,,0,फैल,Preverbal
1,0,0,-0.025460754516347384,-1,6.766500000000001e-06,1,,,0,रह,Preverbal
1,0,0,-0.043569093749914384,-1,-5.2396653e-07,-1,,,0,मना,Preverbal
1,-1,-1,0.18744912485946214,1,8.733653e-08,1,,,0,कर,Preverbal
1,1,1,-0.18587978432316338,-1,-1.021736e-05,-1,,,0,आ,Preverbal
1,1,1,0.10406098756164359,1,-3.71195e-06,-1,,,0,हो,Preverbal
1,3,1,0.020178451235427428,1,1.0437800000000001e-07,1,,,0,कर,Preverbal
1,-4,-1,-0.08463680293881554,-1,2.954353e-08,1,,,0,बता,Preverbal
1,-1,-1,0.16731527953542427,1,1.32846e-05,1,,,0,रह,Preverbal
1,1,1,-0.007637990077091039,-1,-1.8382379999999997e-05,-1,,,0,जुड़,Preverbal
1,3,1,-0.060064786276828486,-1,-3.5366000000000027e-07,-1,,,0,मिल,Preverbal
1,-1,-1,-0.05792687833398036,-1,5.966399999999999e-06,1,,,1,आ,Preverbal
1,-1,-1,-0.2464553005840042,-1,-2.8727500000000006e-06,-1,,,1,कर,Preverbal
1,3,1,-0.01170822687736503,-1,8.080800000000002e-06,1,,,0,पड,Preverbal
1,0,0,-0.13536735566188748,-1,-7.24813e-06,-1,,,0,कर,Preverbal
1,-2,-1,0.2535639472583645,1,1.6467299999999998e-06,1,,,0,हो,Preverbal
1,-1,-1,-0.04863881862087327,-1,-7.710339999999999e-06,-1,,,0,करा,Preverbal
1,1,1,0.050376521896644266,1,6.783503000000002e-05,1,,,0,दे,Preverbal
1,2,1,0.22970119816959866,1,-3.2715e-05,-1,,,0,हो,Preverbal
1,-1,-1,0.241890121071588,1,-3.3813000000000006e-06,-1,,,0,हो,Preverbal
1,-1,-1,0.00957534051484693,1,1.2145e-06,1,,,0,उठा,Preverbal
1,-1,-1,-0.06913664132830649,-1,-5.5422999999999994e-06,-1,,,0,करा,Preverbal
1,0,0,0.22627849015453663,1,-2.5065200000000002e-05,-1,,,0,कर,Preverbal
1,1,1,-0.11742721403650258,-1,8.0896e-06,1,,,-1,हो,Preverbal
1,4,1,-0.14857156386032247,-1,1.1532e-07,1,,,0,दे,Preverbal
1,-2,-1,-0.10439669282227343,-1,9.785205e-08,1,,,0,हो,Preverbal
1,-3,-1,0.01721458447019486,1,3.5085e-06,1,,,0,निकाल,Preverbal
1,-2,-1,0.0510257893802529,1,2.4567600000000002e-05,1,,,0,हो,Preverbal
1,-1,-1,-0.1568237550900386,-1,1.15874e-06,1,,,0,कह,Preverbal
1,0,0,-0.16760000809649114,-1,1.1184999999999993e-07,1,,,1,लगा,Preverbal
1,1,1,-0.09481200591425701,-1,-6.034330000000001e-06,-1,,,0,आ,Preverbal
1,2,1,0.011789528816105621,1,-3.3010960000000004e-06,-1,,,0,हटा,Preverbal
1,0,0,-0.27294017276258087,-1,7.798525000000001e-05,1,,,1,कर,Preverbal
1,-2,-1,0.17593638603766457,1,1.5191999999999947e-07,1,,,0,भडक,Preverbal
1,0,0,0.10331190347343136,1,-2.7423e-06,-1,,,0,हो,Preverbal
1,4,1,-0.24904734025947517,-1,6.2275e-06,1,,,0,दे,Preverbal
1,0,0,0.016127609883634847,1,-3.6381432e-05,-1,,,0,तोड,Preverbal
1,-1,-1,0.24408882703790769,1,1.7218939999999998e-05,1,,,0,कर,Preverbal
1,-1,-1,0.058886867235486945,1,3.3834235000000005e-05,1,,,0,हो,Preverbal
1,1,1,0.011631334337815769,1,-1.056615e-05,-1,,,0,हो,Preverbal
1,3,1,0.4189304555920998,1,4.764e-06,1,,,-1,हो,Preverbal
1,3,1,-0.1034776237893778,-1,-1.752203e-05,-1,,,0,हो,Preverbal
1,1,1,-0.0030011333358090364,-1,1.40892e-05,1,,,0,रह,Preverbal
1,0,0,-0.06395291784195284,-1,4.257875e-06,1,,,1,बढ,Preverbal
1,0,0,0.04296304001778947,1,-4.858700000000001e-05,-1,,,0,छिप,Preverbal
1,0,0,-0.23762527306402198,-1,-5.831000000000001e-06,-1,,,1,दे,Preverbal
1,9,1,-0.03756701746089586,-1,-3.560000000000003e-08,-1,,,0,कह,Preverbal
1,-8,-1,0.10928788528827785,1,1.024344e-06,1,,,0,हो,Preverbal
1,3,1,-0.028330488610740362,-1,4.2681000000000015e-07,1,,,0,हो,Preverbal
1,-4,-1,0.11438444129556002,1,1.495917e-06,1,,,0,हो,Preverbal
1,0,0,-0.2081245946378965,-1,-5.553400000000001e-06,-1,,,1,लगा,Preverbal
1,0,0,0.029655846336356095,1,2.7391100000000004e-06,1,,,0,मिल,Preverbal
1,-2,-1,0.10367645452021396,1,-1.6463000000000002e-06,-1,,,0,रह,Preverbal
1,-1,-1,-0.2805416954961513,-1,-5.247499999999995e-07,-1,,,0,हो,Preverbal
1,2,1,0.09716617604333311,1,4.5803814e-07,1,,,0,खरीद,Preverbal
1,-1,-1,0.042482466580717304,1,1.8645999999999995e-06,1,,,0,दे,Preverbal
1,-1,-1,-0.03248973747053785,-1,-2.98073e-07,-1,,,0,उग,Preverbal
1,4,1,0.1379747586111635,1,3.44864e-06,1,,,0,लगा,Preverbal
1,-2,-1,0.08703440776778634,1,7.599299999712001e-06,1,,,0,बीजा,Preverbal
1,-1,-1,-0.08278293955567456,-1,-3.77189e-06,-1,,,0,लगा,Preverbal
1,0,0,-0.16966200462304143,-1,-1.1962921e-05,-1,,,1,रख,Preverbal
1,-1,-1,-0.12159651699098462,-1,-3.6234697999999995e-05,-1,,,1,कर,Preverbal
1,-3,-1,0.21107102172284622,1,-1.4236500000000005e-06,-1,,,0,हो,Preverbal
1,1,1,-0.1372342213315128,-1,-7.675149999999999e-06,-1,,,0,मिल,Preverbal
1,2,1,-0.058524788902856506,-1,8.5014e-06,1,,,0,दे,Preverbal
1,1,1,-0.27697889326638514,-1,2.3856000000000005e-06,1,,,1,जा,Preverbal
1,0,0,-0.30339839725683837,-1,-1.98924504e-06,-1,,,0,हो,Preverbal
1,0,0,-0.018939933389325814,-1,-3.654999999999999e-08,-1,,,0,दे,Preverbal
1,2,1,-0.049673426016547506,-1,-1.2869965299999998e-06,-1,,,0,कह,Preverbal
1,3,1,0.0011551845562453589,1,1.6872300000000001e-06,1,,,0,कर,Preverbal
1,-5,-1,0.15372321613710643,1,1.0229652999999998e-07,1,,,0,चल,Preverbal
1,1,1,-0.14629897361824568,-1,-5.3219030000000005e-06,-1,,,0,कर,Preverbal
1,-18,-1,-0.10764672192128877,-1,-3.6203722999999997e-05,-1,,,0,रह,Preverbal
1,-18,-1,0.19867294266908028,1,-4.3776e-08,-1,,,0,कर,Preverbal
1,0,0,-0.06723115679233571,-1,-1.1672400000000002e-05,-1,,,1,कर,Preverbal
1,1,1,0.26117202470753714,1,-2.6466000000000007e-05,-1,,,-1,आ,Preverbal
1,5,1,0.05309799242360319,1,-2.432858e-05,-1,,,0,मार,Preverbal
1,-4,-1,-0.0020013284415853483,-1,1.5949653e-07,1,,,0,मार,Preverbal
1,-5,-1,-0.3804732236605125,-1,-1.5097951e-05,-1,,,1,कर,Preverbal
1,1,1,-0.20805288200874072,-1,-1.116443e-05,-1,,,0,हो,Preverbal
1,-5,-1,-0.026733471802518588,-1,-8.275603e-06,-1,,,0,हो,Preverbal
1,12,1,-0.06676866958165308,-1,5.181120000000001e-06,1,,,0,पढा,Preverbal
1,2,1,0.10523743566087196,1,-2.3583500000000005e-06,-1,,,0,हो,Preverbal
1,-4,-1,-0.25401175098412443,-1,-6.06931e-07,-1,,,1,रह,Preverbal
1,0,0,-0.12585613712827037,-1,2.188768e-05,1,,,1,बना,Preverbal
1,-4,-1,-0.037098687179886125,-1,-6.887950000000001e-05,-1,,,0,रख,Preverbal
1,-3,-1,-0.045626623412715395,-1,7.92201e-06,1,,,0,चल,Preverbal
1,-1,-1,0.13647044036673445,1,-5.550923e-06,-1,,,0,पहुंच,Preverbal
1,-16,-1,0.06529139483974528,1,-8.407199999999999e-07,-1,,,0,उठ,Preverbal
1,-1,-1,-0.009420342165059437,-1,-1.0895100000000002e-05,-1,,,1,संभल,Preverbal
1,-1,-1,-0.2071842706698526,-1,8.516100000000001e-07,1,,,0,आ,Preverbal
1,2,1,0.01703841338918846,1,-6.693976999999999e-05,-1,,,0,कर,Preverbal
1,0,0,0.1592873111416952,1,-1.249999999999988e-09,-1,,,0,अटक,Preverbal
1,-4,-1,-0.03183542920527488,-1,3.6141000000000003e-06,1,,,0,हो,Preverbal
1,0,0,-0.12361332383069926,-1,-5.61719653e-06,-1,,,0,आ,Preverbal
1,0,0,0.1874415147168511,1,-8.891100000000002e-06,-1,,,0,हो,Preverbal
1,-5,-1,0.16219744429824517,1,-3.634788e-05,-1,,,0,दे,Preverbal
1,1,1,0.03760193548537291,1,1.1781e-06,1,,,0,लगा,Preverbal
1,3,1,-0.11132768647833896,-1,-1.7002989e-06,-1,,,0,लगा,Preverbal
1,-6,-1,-0.18095800523152702,-1,6.592e-07,1,,,0,आ,Preverbal
1,-6,-1,0.011384586287877752,1,-7.843e-07,-1,,,0,कर,Preverbal
1,4,1,-0.05365115012381427,-1,2.2259e-06,1,,,0,पड,Preverbal
1,1,1,0.10025022452920973,1,-1.0305900000000002e-05,-1,,,0,उतर,Preverbal
1,-1,-1,-0.14358398319663054,-1,-6.0499653e-07,-1,,,0,दे,Preverbal
1,0,0,0.2707185205980832,1,4.163999814e-05,1,,,0,जुट,Preverbal
1,1,1,-0.1771720980071691,-1,-4.1440980000000004e-05,-1,,,0,जुट,Preverbal
1,0,0,0.25354399229733243,1,-6.0499653e-07,-1,,,0,परोस,Preverbal
1,-3,-1,0.08503801391595073,1,2.6969988999999996e-06,1,,,0,हो,Preverbal
1,0,0,0.05759424209538361,1,1.810587e-05,1,,,0,था,Preverbal
1,0,0,0.09583661060919418,1,5.1715e-06,1,,,0,लगा,Preverbal
1,1,1,-0.026546429026280627,-1,6.089849999999999e-05,1,,,0,मिल,Preverbal
1,0,0,0.02934408711494138,1,-4.799010000000001e-06,-1,,,0,कर,Preverbal
1,-3,-1,-0.24026458652186553,-1,5.867949999999999e-07,1,,,1,हो,Preverbal
1,1,1,0.0669425237874508,1,-1.08264e-07,-1,,,0,बैठ,Preverbal
1,3,1,-0.253894752375032,-1,-8.664e-06,-1,,,1,हो,Preverbal
1,3,1,-0.0034969785364408756,-1,1.5751999999999998e-06,1,,,-1,बन,Preverbal
