Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Hurr Balley Chashtal kyndagh rish drogh thooillaghyn ayns yn chied vee jeh yn vlein feed cheead as kiare-jeig .,Hurr Balley Chashtal kyndagh rish drogh thooillaghyn,Hurr Balley Chashtal ayns yn chied vee jeh yn vlein feed cheead as kiare-jeig,Hurr Balley Chashtal kyndagh thooillaghyn,Hurr Balley Chashtal ayns vee,kyndagh thooilley,ayns mee,surr,kyndagh rish drogh thooillaghyn,ayns yn chied vee jeh yn vlein feed cheead as kiare-jeig,4,11,kyndagh,ayns,thooilley,mee,NOUN,NOUN,prepositional,prepositional,Postverbal,Manx
"Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh rish e charrey ayns aght grinderagh “ Cre va 'n vuc-awin sonjeragh ayns dty chleaysh ? ”",Tra v' eh er sooyl,Tra v' eh ass shilley,Tra v' eh er sooyl,Tra v' eh ass shilley,er sooyl,ass shilley,bee,er sooyl,ass shilley,2,2,er,ass,sooyl,shilley,NOUN,NOUN,prepositional,prepositional,Postverbal,Manx
"Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh rish e charrey ayns aght grinderagh “ Cre va 'n vuc-awin sonjeragh ayns dty chleaysh ? ”","Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh rish e charrey","Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh ayns aght grinderagh","Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh rish charrey","Tra v' eh er sooyl ass shilley haink yn troailtagh elley sheese ass y villey , as dooyrt eh ayns aght",rish carrey,ayns aght,abbyr,rish e charrey,ayns aght grinderagh,3,3,rish,ayns,carrey,aght,NOUN,NOUN,prepositional,prepositional,Postverbal,Manx
"As dooyrt eh rish scollag , Cur lesh oo eh gys e voir .","As dooyrt eh rish scollag , Cur lesh oo","As dooyrt eh rish scollag , Cur gys e voir","As dooyrt eh rish scollag , Cur lesh oo","As dooyrt eh rish scollag , Cur gys voir",lesh oo,gys moir,cur,lesh oo,gys e voir,2,3,lesh,gys,oo,moir,PRON,NOUN,prepositional,prepositional,Postverbal,Manx
"Steven Corkill , ass Poyll Roish , hooar eh baase ayns Thie-Lheihys Noble er yn çheyoo laa jeig Mean Souree nurree - v' eh feddynit dy row cocaine dy liooar ayns yn 'uill ec eh eh y varroo .","Steven Corkill , ass Poyll Roish , hooar eh baase ayns Thie-Lheihys Noble","Steven Corkill , ass Poyll Roish , hooar eh baase er yn çheyoo laa jeig Mean Souree","Steven Corkill , ass Poyll Roish , hooar eh baase ayns Thie-Lheihys","Steven Corkill , ass Poyll Roish , hooar eh baase er laa",ayns thie-lheihys,er laa,fow,ayns Thie-Lheihys Noble,er yn çheyoo laa jeig Mean Souree,3,7,ayns,er,thie-lheihys,laa,NOUN,NOUN,prepositional,prepositional,Postverbal,Manx
"Agh ny reddyn shoh ta mish er n' insh da shiu , tra hig yn earish , dy vod shiu cooinaghtyn dy dinsh mee da shiu jeh ad .","Agh ny reddyn shoh ta mish er n' insh da shiu , tra hig yn earish , dy vod shiu cooinaghtyn dy dinsh mee da shiu","Agh ny reddyn shoh ta mish er n' insh da shiu , tra hig yn earish , dy vod shiu cooinaghtyn dy dinsh mee jeh ad","Agh ny reddyn shoh ta mish er n' insh da shiu , tra hig yn earish , dy vod shiu cooinaghtyn dy dinsh mee da shiu","Agh ny reddyn shoh ta mish er n' insh da shiu , tra hig yn earish , dy vod shiu cooinaghtyn dy dinsh mee jeh ad",da shiu,jeh ad,insh,da shiu,jeh ad,2,2,da,jeh,shiu,ad,PRON,PRON,prepositional,prepositional,Postverbal,Manx
"As son lheead y chooyrt , er y cheu heear , bee curtanyn jeh jeih cubityn as daeed ; ny pillaryn jeih as ny mortissyn jeih .",As son lheead y chooyrt,", er y cheu heear ,",son lheead,er cheu,son lheead,er cheu,bee,As son lheead y chooyrt,", er y cheu heear ,",5,6,son,er,lheead,cheu,NOUN,NOUN,prepositional,prepositional,Preverbal,Manx
"Eisht hug mee lesh mee seose princeyn Yudah er y voalley , as phoint mee daa heshaght vooar dy choyrt booise , yn derrey ayrn jeh ad hie gys y laue yesh er y voalley , lesh giat yn eoylley :",Eisht hug mee lesh mee,Eisht hug mee er y voalley,Eisht hug mee lesh mee,Eisht hug mee er voalley,lesh mee,er boalley,cur,lesh mee,er y voalley,2,3,lesh,er,mee,boalley,PRON,NOUN,prepositional,prepositional,Postverbal,Manx
"Chamoo t' eh cheu elley jeh yn aarkey , dy niarragh oo , Quoi hed harrish y cheayn er nyn son , dy choyrt lesh eh hug shin eh , dy vod mayd clashtyn , as jannoo eh ?","Chamoo t' eh cheu elley jeh yn aarkey , dy niarragh oo , Quoi hed harrish y cheayn","Chamoo t' eh cheu elley jeh yn aarkey , dy niarragh oo , Quoi hed er nyn son","Chamoo t' eh cheu elley jeh yn aarkey , dy niarragh oo , Quoi hed harrish cheayn","Chamoo t' eh cheu elley jeh yn aarkey , dy niarragh oo , Quoi hed er son",harrish keayn,er son,gow,harrish y cheayn,er nyn son,3,3,harrish,er,keayn,son,NOUN,NOUN,prepositional,prepositional,Postverbal,Manx
Erskyn dorrys dy jeeragh er e veealloo va cowrey .,Erskyn dorrys,dy jeeragh er e veealloo,Erskyn dorrys,er veealloo,erskyn dorrys,er beealloo,bee,Erskyn dorrys,dy jeeragh er e veealloo,2,5,erskyn,er,dorrys,beealloo,NOUN,NOUN,prepositional,prepositional,Preverbal,Manx
