Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
Un teuliad peder fajennad zo bet gouestlet en n niverenn -mañ da Vro-Euskadi .,Un teuliad peder fajennad zo bet gouestlet en n niverenn -mañ,Un teuliad peder fajennad zo bet gouestlet da Vro-Euskadi,Un teuliad peder fajennad zo bet gouestlet en niverenn,Un teuliad peder fajennad zo bet gouestlet da Vro-Euskadi,e niverenn,da bro-Euskadi,gouestlañ,en n niverenn -mañ,da Vro-Euskadi,4,2,e,da,niverenn,bro-Euskadi,NOUN,PROPN,prepositional,prepositional,Postverbal,Breton
Kinnig a ra ar gevredigezh Kentelioù an Noz un dibenn-sizhun staj e r Poulgwenn ( 44 ) d' ar Sadorn 15 ha d' ar Sul 16 a viz Meurzh 2008 .,Kinnig a ra ar gevredigezh Kentelioù an Noz un dibenn-sizhun staj e r Poulgwenn ( 44 ),Kinnig a ra ar gevredigezh Kentelioù an Noz un dibenn-sizhun staj d' ar Sadorn 15 ha d' ar Sul 16 a viz Meurzh 2008,Kinnig a ra ar gevredigezh Kentelioù an Noz un dibenn-sizhun staj e r Poulgwenn,Kinnig a ra ar gevredigezh Kentelioù an Noz un dibenn-sizhun staj d' Sadorn,e Ar Poulgwenn,da Sadorn,kinnig,e r Poulgwenn ( 44 ),d' ar Sadorn 15 ha d' ar Sul 16 a viz Meurzh 2008,5,13,e,da,Ar Poulgwenn,Sadorn,PROPN,NOUN,prepositional,prepositional,Postverbal,Breton
"E Frañs , e 2001 , e oa bet jedet gant an EBSSA ( INSEE ) e veze paeet ar merc'hed , e n embregerezhioù prevez hag evit memes amzer labour , tro-dro da 20 % nebeutoc'h eget ar baotred .","E Frañs ,","e 2001 ,",E Frañs,e 2001,e Frañs,e 2001,jediñ,"E Frañs ,","e 2001 ,",3,3,e,e,Frañs,2001,PROPN,NUM,prepositional,prepositional,Preverbal,Breton
Klaseloc'h e oa ar pezh kinniget e Kemper d' ar mare -mañ .,Klaseloc'h e oa ar pezh kinniget e Kemper,Klaseloc'h e oa ar pezh kinniget d' ar mare -mañ,Klaseloc'h e oa ar pezh kinniget e Kemper,Klaseloc'h e oa ar pezh kinniget d' mare,e Kemper,da mare,kinnig,e Kemper,d' ar mare -mañ,2,4,e,da,Kemper,mare,PROPN,NOUN,prepositional,prepositional,Postverbal,Breton
Ur fest-deiz a vo kinniget goude an droiad e r maezioù .,Ur fest-deiz a vo kinniget goude an droiad,Ur fest-deiz a vo kinniget e r maezioù,Ur fest-deiz a vo kinniget goude droiad,Ur fest-deiz a vo kinniget e maezioù,goude troiad,e maez,kinnig,goude an droiad,e r maezioù,3,3,goude,e,troiad,maez,NOUN,NOUN,prepositional,prepositional,Postverbal,Breton
Fellout a ra dezh o e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet ouzh o gwirioù abaoe trevadennerezh Aostralia gant ar Rouantelezh .,Fellout a ra dezh o e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet ouzh o gwirioù,Fellout a ra dezh o e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet abaoe trevadennerezh Aostralia gant ar Rouantelezh,Fellout a ra dezh o e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet ouzh gwirioù,Fellout a ra dezh o e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet abaoe trevadennerezh,ouzh gwir,abaoe trevadennerezh,doujañ,ouzh o gwirioù,abaoe trevadennerezh Aostralia gant ar Rouantelezh,3,6,ouzh,abaoe,gwir,trevadennerezh,NOUN,NOUN,prepositional,prepositional,Postverbal,Breton
"War an tele e tremen abred -tre d' ar Sadorn neuze , e-tro 7 eur .",War an tele e tremen abred -tre d' ar Sadorn,"War an tele e tremen abred -tre , e-tro 7 eur",War an tele e tremen abred -tre d' Sadorn,War an tele e tremen abred -tre e-tro eur,da Sadorn,e-tro eur,tremen,d' ar Sadorn,", e-tro 7 eur",3,4,da,e-tro,Sadorn,eur,NOUN,NOUN,prepositional,prepositional,Postverbal,Breton
"E gwerzh e r stalioù levrioù a ginnig danvez Breizh , pe dre goumanant .",E gwerzh,e r stalioù levrioù,E gwerzh,e stalioù,e gwerzh,e stal,kinnig,E gwerzh,e r stalioù levrioù,2,4,e,e,gwerzh,stal,NOUN,NOUN,prepositional,prepositional,Preverbal,Breton
Ganet eo bet e 1958 e Naoned ha marv e Pariz e 1993 .,Ganet eo bet e 1958,Ganet eo bet e Naoned,Ganet eo bet e 1958,Ganet eo bet e Naoned,e 1958,e Naoned,genel,e 1958,e Naoned,2,2,e,e,1958,Naoned,NUM,PROPN,prepositional,prepositional,Postverbal,Breton
Un dra all a chom da venegiñ eo ar fed ral a-walc'h ez eus bet moullet skritelloù gant an titl e brezhoneg evit ar film -mañ .,Un dra all a chom da venegiñ eo ar fed ral a-walc'h ez eus bet moullet skritelloù gant an titl e brezhoneg,Un dra all a chom da venegiñ eo ar fed ral a-walc'h ez eus bet moullet skritelloù gant an titl evit ar film -mañ,Un dra all a chom da venegiñ eo ar fed ral a-walc'h ez eus bet moullet skritelloù gant an titl e brezhoneg,Un dra all a chom da venegiñ eo ar fed ral a-walc'h ez eus bet moullet skritelloù gant an titl evit film,e brezhoneg,evit film,moulañ,e brezhoneg,evit ar film -mañ,2,4,e,evit,brezhoneg,film,NOUN,NOUN,prepositional,prepositional,Postverbal,Breton
