Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"A més de l' aturada i amb la finalitat de donar a conèixer les seves demandes al conjunt de la ciutat , la plantilla ha sortit avui al carrer en una manifestació que ha anat des de la Bonavista fins a l' Ajuntament .","A més de l' aturada i amb la finalitat de donar a conèixer les seves demandes al conjunt de la ciutat , la plantilla ha sortit avui al carrer","A més de l' aturada i amb la finalitat de donar a conèixer les seves demandes al conjunt de la ciutat , la plantilla ha sortit avui en una manifestació que ha anat des de la Bonavista fins a l' Ajuntament","A més de l' aturada i amb la finalitat de donar a conèixer les seves demandes al conjunt de la ciutat , la plantilla ha sortit avui al carrer","A més de l' aturada i amb la finalitat de donar a conèixer les seves demandes al conjunt de la ciutat , la plantilla ha sortit avui en manifestació",al carrer,en manifestació,sortir,al carrer,en una manifestació que ha anat des de la Bonavista fins a l' Ajuntament,2,14,al,en,carrer,manifestació,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"Els pagesos de la fruita seca tornaran a mobilitzar se , el proper 16 de juny a Madrid , en un nou acte de protesta per pressionar la Unió Europea i aconseguir la continuïtat de les ajudes al sector .","Els pagesos de la fruita seca tornaran a mobilitzar se , el proper 16 de juny a Madrid ,","Els pagesos de la fruita seca tornaran a mobilitzar se , el proper 16 de juny en un nou acte de protesta","Els pagesos de la fruita seca tornaran a mobilitzar se , el proper 16 de juny a Madrid","Els pagesos de la fruita seca tornaran a mobilitzar se , el proper 16 de juny en acte",a Madrid,en acte,tornar,"a Madrid ,",en un nou acte de protesta,3,6,a,en,Madrid,acte,PROPN,NOUN,prepositional,prepositional,Postverbal,Catalan
"El sindicalista Josep Suñé reconeixia anit que hi ha cert optimisme al sector al voltant d' una sortida positiva a la crisi , però que ' mentre no hi hagi res , cal continuar pressionant ' .",El sindicalista Josep Suñé reconeixia anit que hi ha cert optimisme al sector,El sindicalista Josep Suñé reconeixia anit que hi ha cert optimisme al voltant d' una sortida positiva a la crisi,El sindicalista Josep Suñé reconeixia anit que hi ha cert optimisme al sector,El sindicalista Josep Suñé reconeixia anit que hi ha cert optimisme al sortida,al sector,al sortida,haver,al sector,al voltant d' una sortida positiva a la crisi,2,9,al,al,sector,sortida,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
El titular del Jutjat d' Instrucció número 2 de Barcelona ha imputat un cinquè directiu del Deutsche Bank en la investigació per un presumpte delicte de violació de la intimitat d' un treballador a qui van mirar el contingut dels missatges del correu electrònic .,El titular del Jutjat d' Instrucció número 2 de Barcelona ha imputat un cinquè directiu del Deutsche Bank en la investigació,El titular del Jutjat d' Instrucció número 2 de Barcelona ha imputat un cinquè directiu del Deutsche Bank per un presumpte delicte de violació de la intimitat d' un treballador a qui van mirar el contingut dels missatges del correu electrònic,El titular del Jutjat d' Instrucció número 2 de Barcelona ha imputat un cinquè directiu del Deutsche Bank en investigació,El titular del Jutjat d' Instrucció número 2 de Barcelona ha imputat un cinquè directiu del Deutsche Bank per delicte,en investigació,per delicte,imputar,en la investigació,per un presumpte delicte de violació de la intimitat d' un treballador a qui van mirar el contingut dels missatges del correu electrònic,3,23,en,per,investigació,delicte,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"A més , s' ha aprofitat per a situar una exposició a l' estació superior sobre el projecte del nou cremallera i dues més a l' estació inferior sobre la història de la Santa Cova i sobre els funiculars .","A més , s' ha aprofitat per a situar una exposició a l' estació superior","A més , s' ha aprofitat per a situar una exposició sobre el projecte del nou cremallera","A més , s' ha aprofitat per a situar una exposició a estació","A més , s' ha aprofitat per a situar una exposició sobre projecte",a estació,sobre projecte,situar,a l' estació superior,sobre el projecte del nou cremallera,4,6,a,sobre,estació,projecte,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"Macias ha assenyalat que la Comissió d' Urbanisme de Tarragona va dictar l' any 1979 unes Normes Subsidiàries i Complementàries de Planejament per aplicar de manera directa a 117 municipis de la demarcació de Tarragona , com a instrument d' ordenació , perquè no disposaven en aquell moment d' un PGOU o bé de Normes Subsidiàries de planejament municipal .",Macias ha assenyalat que la Comissió d' Urbanisme de Tarragona va dictar l' any 1979 unes Normes Subsidiàries i Complementàries de Planejament per aplicar de manera directa,Macias ha assenyalat que la Comissió d' Urbanisme de Tarragona va dictar l' any 1979 unes Normes Subsidiàries i Complementàries de Planejament per aplicar a 117 municipis de la demarcació de Tarragona,Macias ha assenyalat que la Comissió d' Urbanisme de Tarragona va dictar l' any 1979 unes Normes Subsidiàries i Complementàries de Planejament per aplicar de manera,Macias ha assenyalat que la Comissió d' Urbanisme de Tarragona va dictar l' any 1979 unes Normes Subsidiàries i Complementàries de Planejament per aplicar a municipis,de manera,a municipi,aplicar,de manera directa,a 117 municipis de la demarcació de Tarragona,3,8,de,a,manera,municipi,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"En l' actualitat , segons el conseller , d' aquells 117 resten només 33 municipis sense planejament general .",En l' actualitat,", segons el conseller ,",En actualitat,segons conseller,en actualitat,segons conseller,restar,En l' actualitat,", segons el conseller ,",3,5,en,segons,actualitat,conseller,NOUN,NOUN,prepositional,prepositional,Preverbal,Catalan
"L' empresa promotora Garraf Mediterrània SA i Pirelli Cables y Sistemas SA , en col·laboració amb l' Ajuntament de Vilanova i la Geltrú , han convocat el concurs d' idees de l' anomenat ' Espai Pirelli ' per seleccionar , a partir del dia 8 de juny i durant els propers mesos , les propostes urbanístiques , arquitectòniques i mediambientals que serviran de base per a la redacció del futur Pla Especial de Reforma Interior ( PERI ) dels terrenys que ara ocupa Pirelli a Vilanova .","L' empresa promotora Garraf Mediterrània SA i Pirelli Cables y Sistemas SA , en col·laboració amb l' Ajuntament de Vilanova i la Geltrú , han convocat el concurs d' idees de l' anomenat ' Espai Pirelli ' per seleccionar , a partir del dia 8 de juny i durant els propers mesos , les propostes urbanístiques , arquitectòniques i mediambientals que serviran de base","L' empresa promotora Garraf Mediterrània SA i Pirelli Cables y Sistemas SA , en col·laboració amb l' Ajuntament de Vilanova i la Geltrú , han convocat el concurs d' idees de l' anomenat ' Espai Pirelli ' per seleccionar , a partir del dia 8 de juny i durant els propers mesos , les propostes urbanístiques , arquitectòniques i mediambientals que serviran per a la redacció del futur Pla Especial de Reforma Interior ( PERI ) dels terrenys que ara ocupa Pirelli a Vilanova","L' empresa promotora Garraf Mediterrània SA i Pirelli Cables y Sistemas SA , en col·laboració amb l' Ajuntament de Vilanova i la Geltrú , han convocat el concurs d' idees de l' anomenat ' Espai Pirelli ' per seleccionar , a partir del dia 8 de juny i durant els propers mesos , les propostes urbanístiques , arquitectòniques i mediambientals que serviran de base","L' empresa promotora Garraf Mediterrània SA i Pirelli Cables y Sistemas SA , en col·laboració amb l' Ajuntament de Vilanova i la Geltrú , han convocat el concurs d' idees de l' anomenat ' Espai Pirelli ' per seleccionar , a partir del dia 8 de juny i durant els propers mesos , les propostes urbanístiques , arquitectòniques i mediambientals que serviran per a redacció",de base,per a redacció,servir,de base,per a la redacció del futur Pla Especial de Reforma Interior ( PERI ) dels terrenys que ara ocupa Pirelli a Vilanova,2,22,de,per a,base,redacció,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"El president de Garraf Mediterrània SA , Eduard Brull , ha explicat que ' la convocatòria espera obtenir un ampli ressò entre els millors despatxos d' arquitectes , tant a nivell nacional com internacional , ja que es tracta d' un dels espais més singulars per a la promoció immobiliària - per les seves dimensions , inversió i posició estratègica - de tot el litoral català ' .","El president de Garraf Mediterrània SA , Eduard Brull , ha explicat que ' la convocatòria espera obtenir un ampli ressò entre els millors despatxos d' arquitectes","El president de Garraf Mediterrània SA , Eduard Brull , ha explicat que ' la convocatòria espera obtenir un ampli ressò , tant a nivell nacional com internacional ,","El president de Garraf Mediterrània SA , Eduard Brull , ha explicat que ' la convocatòria espera obtenir un ampli ressò entre despatxos","El president de Garraf Mediterrània SA , Eduard Brull , ha explicat que ' la convocatòria espera obtenir un ampli ressò a nivell",entre despatx,a nivell,obtenir,entre els millors despatxos d' arquitectes,", tant a nivell nacional com internacional ,",6,8,entre,a,despatx,nivell,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"Tot i amb això , ha afegit , actualment l' Agència Catalana de l' Aigua ( ACA ) no té coneixement que hagi entrat en les seves dependències la sol·licitud d' autorització per fer les , ni per part de l' Ajuntament ni de l' Institut Català del Sòl .","Tot i amb això , ha afegit , actualment l' Agència Catalana de l' Aigua ( ACA ) no té coneixement que hagi entrat en les seves dependències","Tot i amb això , ha afegit , actualment l' Agència Catalana de l' Aigua ( ACA ) no té coneixement que hagi entrat , ni per part de l' Ajuntament ni de l' Institut Català del Sòl","Tot i amb això , ha afegit , actualment l' Agència Catalana de l' Aigua ( ACA ) no té coneixement que hagi entrat en dependències","Tot i amb això , ha afegit , actualment l' Agència Catalana de l' Aigua ( ACA ) no té coneixement que hagi entrat per Ajuntament",en dependència,per Ajuntament,entrar,en les seves dependències,", ni per part de l' Ajuntament ni de l' Institut Català del Sòl",4,14,en,per,dependència,Ajuntament,NOUN,PROPN,prepositional,prepositional,Postverbal,Catalan
"Davant la persistència de problemes de pudors , el mes de setembre de 1998 , al marge del projecte , es van remodelar els mecanismes de captació d' aigües fecals , amb la qual cosa es va resoldre .","Davant la persistència de problemes de pudors ,",", al marge del projecte ,",Davant persistència,al projecte,davant persistència,al projecte,remodelar,"Davant la persistència de problemes de pudors ,",", al marge del projecte ,",8,6,davant,al,persistència,projecte,NOUN,NOUN,prepositional,prepositional,Preverbal,Catalan
"Per aquest motiu , segons Puig , no es va considerar oportú cobrir una part del torrent amb un calaix de formigó perquè la quantitat a destinar , 18.402.516 pessetes , solament permetia fer el 10 per cent de l' obra , ' la qual cosa no tenia cap sentit ni des del punt de vista econòmic ni des del tècnic ' .",Per aquest motiu,", segons Puig ,",Per motiu,segons Puig,per motiu,segons Puig,considerar,Per aquest motiu,", segons Puig ,",3,4,per,segons,motiu,Puig,NOUN,PROPN,prepositional,prepositional,Preverbal,Catalan
"Un incendi que s' ha declarat aquesta tarda al costat de la via del tren al terme municipal de Vinaixa , ha provocat l' aturada de dos trens regionals en ambdues direccions .",Un incendi que s' ha declarat aquesta tarda al costat de la via del tren,Un incendi que s' ha declarat aquesta tarda al terme municipal de Vinaixa,Un incendi que s' ha declarat aquesta tarda al costat,Un incendi que s' ha declarat aquesta tarda al terme,al costat,al terme,declarar,al costat de la via del tren,al terme municipal de Vinaixa,7,5,al,al,costat,terme,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"Sis mesos després del debat en el primer Ple , només s' ha instal·lat una rampa d' accés per a cadires de rodes a la platja de l' Arrabassada , mentre que no s' ha fet res en cap platja en matèria de dutxes i vestidors .","Sis mesos després del debat en el primer Ple , només s' ha instal·lat una rampa d' accés per a cadires de rodes a la platja de l' Arrabassada , mentre que no s' ha fet res en cap platja","Sis mesos després del debat en el primer Ple , només s' ha instal·lat una rampa d' accés per a cadires de rodes a la platja de l' Arrabassada , mentre que no s' ha fet res en matèria de dutxes i vestidors","Sis mesos després del debat en el primer Ple , només s' ha instal·lat una rampa d' accés per a cadires de rodes a la platja de l' Arrabassada , mentre que no s' ha fet res en platja","Sis mesos després del debat en el primer Ple , només s' ha instal·lat una rampa d' accés per a cadires de rodes a la platja de l' Arrabassada , mentre que no s' ha fet res en dutxes",en platja,en dutxa,fer,en cap platja,en matèria de dutxes i vestidors,3,6,en,en,platja,dutxa,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
"Aquest acord podria afectar de forma definitiva l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà , i la que va interposar l' economista contra la dona per coaccions .","Aquest acord podria afectar de forma definitiva l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà , i la que va interposar l' economista contra la dona","Aquest acord podria afectar de forma definitiva l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà , i la que va interposar l' economista per coaccions","Aquest acord podria afectar de forma definitiva l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà , i la que va interposar l' economista contra dona","Aquest acord podria afectar de forma definitiva l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà , i la que va interposar l' economista per coaccions",contra dona,per coacció,interposar,contra la dona,per coaccions,3,2,contra,per,dona,coacció,NOUN,NOUN,prepositional,prepositional,Postverbal,Catalan
