Order,Len,Len_c,Semantic_closeness,Semantic_closeness_c,Lexical_frequency,Lexical_frequency_c,Predictability,Predictability_c,Pronominality,Verb,Position
1,0,0,-0.16359493023404334,-1,9.447013e-05,1,-0.013659507995640863,-1,0,زَاد,Preverbal
0,2,1,0.24192420250498603,1,3.2293242e-06,1,0.03720188065950625,1,0,قَال,Preverbal
1,5,1,0.18837017833294542,1,4.349314799999999e-08,1,0.004108474654950622,1,0,عَاد,Postverbal
1,2,1,0.01773761567069848,1,6.865100000000008e-07,1,0.0009016813690407299,1,1,تَمّ,Postverbal
1,23,1,-0.1754266521980466,-1,-0.00022581866999999998,-1,0.0024819822119281354,1,0,كَان,Postverbal
1,3,1,0.0,0,0.0,0,0.0,0,0,وَقَع,Postverbal
1,3,1,-0.010216365187708631,-1,3.27426e-06,1,0.0033041149768021083,1,0,كَان,Postverbal
1,0,0,-0.04436188063153809,-1,-1.722138e-05,-1,-0.005082771865250468,-1,0,قَتَل,Postverbal
1,1,1,0.05140614742485369,1,-7.925463e-06,-1,0.0007126020675701228,1,0,تَرَك,Postverbal
1,12,1,-0.07100246107956035,-1,4.57351e-06,1,0.0006602405280789481,1,0,صَدَر,Postverbal
1,1,1,-0.016211687155247068,-1,1.7647300000000002e-08,1,0.0005083386695874381,1,0,قَام,Postverbal
1,0,0,0.25590546830619193,1,-3.2486e-06,-1,-0.003462078776016786,-1,0,بَقِي,Postverbal
1,0,0,-0.2897611149370633,-1,4.113594e-06,1,-0.013543206887025483,-1,0,أَتَى,Postverbal
1,2,1,0.01773761567069848,1,6.865100000000008e-07,1,0.0008090064652657158,1,1,تَمّ,Postverbal
1,1,1,-0.058661962773927684,-1,-1.4831599999999999e-05,-1,0.0047938426215336505,1,1,عَقَد,Postverbal
1,5,1,0.14225317265337453,1,3.5483069999999997e-08,1,0.0004669230839884908,1,0,عَقَد,Postverbal
1,1,1,0.09996988130639778,1,-4.68128793e-05,-1,0.0019642853700305163,1,0,حَدَث,Postverbal
1,13,1,-0.014387977270362812,-1,-0.00013789643999999999,-1,0.00017776259992791088,1,1,تَمّ,Postverbal
1,-4,-1,0.017590712875521608,1,-4.247959e-05,-1,-0.000491872711398722,-1,0,بَدَأ,Postverbal
1,3,1,0.10230517683920251,1,-0.00014809570000000002,-1,0.003252702540422814,1,0,عَقَد,Postverbal
1,-2,-1,-0.017340500623225674,-1,-9.946199999999999e-07,-1,-0.000586530149027098,-1,0,حَلّ,Postverbal
1,14,1,0.1207589183256697,1,1.919997e-06,1,0.001893685452941718,1,0,عَاد,Postverbal
1,2,1,0.21922302155119505,1,-2.44587e-06,-1,-0.00019558100372468745,-1,0,عَقَد,Postverbal
1,2,1,0.11004943778153137,1,8.1596e-07,1,-0.0007527569535951129,-1,0,كَان,Postverbal
1,2,1,-0.17253782492000064,-1,-4.6798799999999997e-05,-1,0.0029983127701922463,1,0,تَمّ,Postverbal
1,14,1,-0.004032846841259374,-1,0.000294983966,1,0.0015963518831393353,1,0,حَصَل,Postverbal
1,3,1,-0.2701348977289386,-1,4.3351619999999995e-05,1,0.0002977835055775757,1,0,كَان,Postverbal
1,4,1,0.11391414100893972,1,-0.00014107813,-1,0.0017508317869881496,1,1,تَمّ,Postverbal
1,46,1,0.004810928820411564,1,-3.96396e-05,-1,0.0015037519380094455,1,0,بَلَغ,Postverbal
1,2,1,0.187425813495091,1,-1.9248012000000002e-05,-1,-0.0004865954416767293,-1,0,بَلَغ,Postverbal
1,11,1,0.12573059140611548,1,3.916e-07,1,-0.00021001721708069354,-1,0,كَان,Postverbal
1,-3,-1,0.23505554406044282,1,3.7050576999999998e-06,1,-0.001014704659626442,-1,0,وَقَف,Postverbal
1,1,1,0.31526002149084603,1,-1.0925409e-05,-1,-0.0005185413405513484,-1,0,بَدَأ,Postverbal
1,22,1,-0.029492526141505382,-1,-6.255600000000006e-07,-1,0.004832321548775553,1,0,عَقَد,Postverbal
1,3,1,0.018769184261217986,1,1.6258770000000002e-05,1,0.002304638871886089,1,0,قَال,Postverbal
1,7,1,-0.06123858429812701,-1,1.2126640999999999e-05,1,0.0008817463101678524,1,0,فَتَح,Postverbal
1,3,1,-0.18603259389125948,-1,-3.837776e-07,-1,-0.00020095054445695704,-1,0,عَبَّر,Postverbal
1,10,1,-0.24670634967662725,-1,2.0350120000000003e-06,1,0.0019955193319334263,1,0,زَاد,Postverbal
1,-9,-1,-0.09609554880879395,-1,0.00013934523,1,-0.00028468164332956514,-1,-1,كَان,Postverbal
1,7,1,0.03844959570922543,1,-7.1732e-07,-1,0.0022639005790627276,1,0,كَفَى,Postverbal
1,11,1,0.00013691990846459445,1,4.41203e-06,1,-0.0005460090382883309,-1,0,شَهِد,Postverbal
1,-2,-1,0.06919219153584527,1,-9.516008699999999e-07,-1,0.001763657460046364,1,0,نَشَأ,Postverbal
1,-1,-1,0.02083996473079075,1,-1.43607e-05,-1,7.620485608178518e-05,1,0,عَقَد,Postverbal
1,4,1,0.13284084646299915,1,-8.694213000000001e-06,-1,5.0974860326735705e-05,1,0,تَمّ,Postverbal
1,30,1,0.3368363971869082,1,-7.2230859999999995e-06,-1,-0.011862336192284884,-1,0,دَار,Postverbal
1,-1,-1,0.013010545441805854,1,9.28599e-06,1,0.001373064862461748,1,0,بَلَغ,Postverbal
0,-2,-1,0.024226676928088275,1,2.4731400000000002e-05,1,0.0033450317014686592,1,0,بَلَغ,Postverbal
0,-6,-1,-0.19824705894222883,-1,1.8291250000000003e-06,1,0.00022909363034501196,1,0,بَدَأ,Postverbal
0,0,0,0.027184066794557787,1,-5.2762000000000006e-08,-1,-0.0002902538283282019,-1,0,عَاد,Postverbal
0,0,0,-0.05488597713303672,-1,-4.7441999999999993e-07,-1,0.0008267468842569903,1,0,قَدَّم,Postverbal
0,-134,-1,-0.016690255576445323,-1,1.4530899999999996e-06,1,-0.015293649940862242,-1,-1,قَال,Postverbal
0,0,0,0.012299114495987973,1,-4.5055e-06,-1,-0.002329200835474776,-1,0,ظَلّ,Postverbal
0,-16,-1,-0.016867250115445154,-1,-2.1202000000000007e-07,-1,0.004044974026645276,1,0,وَقَع,Postverbal
0,-1,-1,-0.12301576366367137,-1,1.6263465e-05,1,-0.0005356503496422027,-1,-1,عَمَد,Postverbal
0,-16,-1,0.04266499513444094,1,-2.6004e-08,-1,-0.0005533623554435652,-1,0,عَقَد,Postverbal
0,1,1,0.04002106961348362,1,-7.940999999999991e-10,-1,0.0013175680789771493,1,0,نَقَل,Postverbal
0,-21,-1,0.08129074713174833,1,2.22204e-06,1,4.9089360394383164e-05,1,0,جَرَى,Postverbal
0,1,1,-0.1769421641982294,-1,2.1765000000000005e-07,1,0.00047933096345254,1,0,بَدَأ,Postverbal
0,-2,-1,0.11458279559896362,1,2.565002e-05,1,0.0004822358768536428,1,0,بَلَغ,Postverbal
0,-3,-1,0.04261722204630064,1,-3.5706999999999975e-05,-1,-0.0006745434707420284,-1,-1,عَقَد,Postverbal
0,-6,-1,-0.09044170018626665,-1,3.16432e-06,1,0.004335519615307537,1,0,وَضَع,Postverbal
0,4,1,-0.014828519049544575,-1,5.2530403999999995e-06,1,0.027494230548039567,1,0,لَيس,Postverbal
0,-13,-1,-0.185032363361761,-1,4.6732430600000003e-07,1,0.00034392213481171385,1,0,وَصَل,Postverbal
0,-6,-1,-0.2069927978669198,-1,1.5174619999999999e-06,1,-0.0010170278192194182,-1,0,بَدَأ,Postverbal
0,-9,-1,-0.21418217242809615,-1,1.367686e-06,1,-0.0016119059530775859,-1,0,بَلَغ,Postverbal
0,-4,-1,0.09695792739204445,1,1.34991324e-06,1,-0.0009132273983717409,-1,0,بَدَأ,Postverbal
0,-2,-1,0.1400357184825142,1,4.03377e-05,1,0.0006393316809515381,1,0,وَصَل,Postverbal
0,0,0,0.07564281155568348,1,-4.47319e-07,-1,-0.0002256573861192379,-1,0,زَاد,Postverbal
0,-7,-1,-0.1247140060493234,-1,3.1491840000000003e-06,1,0.0048250687848193086,1,0,ظَهَر,Postverbal
0,-1,-1,0.032697057332054996,1,1.1469e-06,1,-0.0009410174940205907,-1,0,نَصَب,Postverbal
0,-7,-1,0.1185506257048457,1,3.14244e-06,1,-0.004109462322242741,-1,0,شَهِد,Postverbal
0,-4,-1,-0.18916255931276615,-1,9.50159e-06,1,-0.0008824492245485538,-1,0,بَلَغ,Postverbal
0,-3,-1,-0.13473619920414465,-1,1.2542990000000001e-05,1,-0.002632193599476529,-1,0,زَاد,Postverbal
0,-2,-1,0.04268364080905657,1,1.3313686000000001e-05,1,-0.0009820789519305317,-1,0,زَاد,Postverbal
0,-8,-1,-0.20874323432048186,-1,-6.7897349999999995e-06,-1,0.0011241777195079017,1,0,بَدَأ,Postverbal
0,0,0,0.0503832084295614,1,5.234250999999999e-06,1,0.0012362680914189683,1,0,تَمّ,Postverbal
0,5,1,-0.23687934681604644,-1,1.494927e-06,1,-0.0010009656286757984,-1,0,جَرَى,Postverbal
0,-2,-1,0.16556147896734946,1,-3.26734e-07,-1,-0.00047377003316190214,-1,0,دَخَل,Postverbal
0,0,0,-0.04621141696881803,-1,2.353519e-06,1,-0.0005682445259637681,-1,0,سَقَط,Postverbal
0,-1,-1,-0.30299387039434084,-1,8.622711e-06,1,0.0032407670289049118,1,0,تَقَدَّم,Postverbal
0,-12,-1,0.23663582986218903,1,-1.5814242e-05,-1,-0.0029697412083530828,-1,0,بَقِي,Postverbal
0,0,0,0.06779575660954362,1,8.711813631e-06,1,-0.0007180352833003334,-1,0,رَدّ,Postverbal
0,-6,-1,0.005054779116236419,1,-2.816304396e-06,-1,-0.005947981806735836,-1,0,وَصَل,Postverbal
0,-10,-1,0.22326573327398255,1,-1.0244699999999997e-06,-1,0.0007682854627351077,1,0,بَدَأ,Postverbal
0,-10,-1,-0.1482695405922653,-1,1.7432132999999999e-06,1,0.0009127022842291832,1,0,عَقَد,Postverbal
0,-4,-1,0.09336922239547785,1,5.11595667e-06,1,-0.002089387400393272,-1,0,عَقَد,Postverbal
0,-3,-1,-0.0757595280009935,-1,-1.6705499999999998e-06,-1,-0.010412715708859543,-1,0,وَصَل,Postverbal
0,-1,-1,-0.1213410432868817,-1,0.00015860698999999997,1,-0.0015735044480403304,-1,0,تَمّ,Postverbal
0,-7,-1,0.04020955413261043,1,-2.8796264999999997e-07,-1,0.001472297398317668,1,0,تَمّ,Postverbal
0,7,1,0.16816593411447825,1,7.846089999999999e-07,1,-0.00803888170385586,-1,0,وَقَع,Postverbal
