Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"O dată , când treceau unul pe lângă altul pe coridor , ea îi aruncase o privire piezișă care parcă -l străpunsese și pentru o clipă fusese cuprins de o groază oarbă .","O dată , când treceau unul pe lângă altul","O dată , când treceau unul pe coridor","O dată , când treceau unul pe altul","O dată , când treceau unul pe coridor",pe altul,pe coridor,trece,pe lângă altul,pe coridor,3,2,pe,pe,altul,coridor,PRON,NOUN,prepositional,prepositional,Postverbal,Romanian
Winston îl mai văzuse pe O'Brien poate de zece ori în tot atâția ani .,Winston îl mai văzuse pe O'Brien poate de zece ori,Winston îl mai văzuse pe O'Brien în tot atâția ani,Winston îl mai văzuse pe O'Brien de ori,Winston îl mai văzuse pe O'Brien în ani,de oară,în an,vedea,poate de zece ori,în tot atâția ani,4,4,de,în,oară,an,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
"În momentul când intrase , O'Brien se uitase la ceas și , văzând că era aproape ora unsprezece se hotărâse , în mod evident , să rămână la Secția Documente pentru cele Două Minute de Ură .","În momentul când intrase , O'Brien se uitase la ceas și , văzând că era aproape ora unsprezece se hotărâse , în mod evident , să rămână la Secția Documente","În momentul când intrase , O'Brien se uitase la ceas și , văzând că era aproape ora unsprezece se hotărâse , în mod evident , să rămână pentru cele Două Minute de Ură","În momentul când intrase , O'Brien se uitase la ceas și , văzând că era aproape ora unsprezece se hotărâse , în mod evident , să rămână la Secția","În momentul când intrase , O'Brien se uitase la ceas și , văzând că era aproape ora unsprezece se hotărâse , în mod evident , să rămână pentru Minute",la secție,pentru minut,rămâne,la Secția Documente,pentru cele Două Minute de Ură,3,6,la,pentru,secție,minut,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
"Programul celor Două Minute de Ură varia de la o zi la alta , dar nu era zi în care Goldstein să nu fie personajul principal .",Programul celor Două Minute de Ură varia de la o zi,Programul celor Două Minute de Ură varia la alta,Programul celor Două Minute de Ură varia de zi,Programul celor Două Minute de Ură varia la alta,de zi,la altul,varia,de la o zi,la alta,4,2,de,la,zi,altul,NOUN,PRON,prepositional,prepositional,Postverbal,Romanian
"El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în general în relații de pace .","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla cu una din aceste puteri","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla cu una",în stare,cu unul,afla,în stare de război,cu una din aceste puteri,4,5,în,cu,stare,unul,NOUN,PRON,prepositional,prepositional,Postverbal,Romanian
"El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în general în relații de pace .","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în general","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în relații de pace","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în general","El era obiectul urii mai constant decât Eurasia sau Estasia , pentru că atunci când Oceania se afla în stare de război cu una din aceste puteri , cu cealaltă era în relații",în general,în relație,fi,în general,în relații de pace,2,4,în,în,general,relație,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
"Se petrecea însă ceva ciudat : deși Goldstein era detestat și disprețuit de toată lumea , deși în fiecare zi și de o mie de ori pe zi , pe podiumuri , la tele-ecran , în ziare , în cărți , teoriile lui erau respinse , zdrobite , ridiculizate , proclamate sus și tare , în văzul mulțimii , ca să se vadă ce prostii lamentabile erau , în ciuda tuturor acestor lucruri , influența lui parcă niciodată nu slăbea .","Se petrecea însă ceva ciudat : deși Goldstein era detestat și disprețuit de toată lumea , deși în fiecare zi și de o mie de ori pe zi ,","Se petrecea însă ceva ciudat : deși Goldstein era detestat și disprețuit de toată lumea , deși pe podiumuri , la tele-ecran , în ziare , în cărți ,","Se petrecea însă ceva ciudat : deși Goldstein era detestat și disprețuit de toată lumea , deși în zi","Se petrecea însă ceva ciudat : deși Goldstein era detestat și disprețuit de toată lumea , deși pe podiumuri",în zi,pe podium,respinge,"în fiecare zi și de o mie de ori pe zi ,","pe podiumuri , la tele-ecran , în ziare , în cărți ,",12,12,în,pe,zi,podium,NOUN,NOUN,prepositional,prepositional,Preverbal,Romanian
"Mergea la un moment dat pe un coridor lung , la Minister , și când ajunsese cam în același loc unde Julia îi strecurase bilețelul în mână , își dăduse seama că exact în spatele lui mergea cineva , mai mare decât el .",Mergea la un moment dat pe un coridor lung,"Mergea la un moment dat , la Minister ,",Mergea la un moment dat pe coridor,Mergea la un moment dat la Minister,pe coridor,la minister,merge,pe un coridor lung,", la Minister ,",4,4,pe,la,coridor,minister,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
"Și totuși , O'Brien continuă să meargă înainte , în același ritm , apucându -l prietenește de braț pentru câteva momente , așa încât ajunseră să meargă umăr la umăr .","Și totuși , O'Brien continuă să meargă înainte , în același ritm , apucându -l prietenește de braț","Și totuși , O'Brien continuă să meargă înainte , în același ritm , apucându -l prietenește pentru câteva momente","Și totuși , O'Brien continuă să meargă înainte , în același ritm , apucându -l prietenește de braț","Și totuși , O'Brien continuă să meargă înainte , în același ritm , apucându -l prietenește pentru momente",de braț,pentru moment,apuca,de braț,pentru câteva momente,2,3,de,pentru,braț,moment,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
"Începu să vorbească în felul lui aparte , cu acea politețe solemnă care -l făcea să fie altfel decât majoritatea membrilor Partidului Interior .",Începu să vorbească în felul lui aparte,"Începu să vorbească , cu acea politețe solemnă care -l făcea să fie altfel decât majoritatea membrilor Partidului Interior",Începu să vorbească în felul,Începu să vorbească cu politețe,în fel,cu politețe,vorbi,în felul lui aparte,", cu acea politețe solemnă care -l făcea să fie altfel decât majoritatea membrilor Partidului Interior",4,16,în,cu,fel,politețe,NOUN,NOUN,prepositional,prepositional,Postverbal,Romanian
