Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
यह सोमवार के अलावा पूरे सप्ताह दोपहर 2 बजे से रात 8 बजे तक खुला रहता है ।,यह सोमवार के अलावा,यह दोपहर 2 बजे से रात 8 बजे तक,यह सोमवार के अलावा,यह बजे तक,सोमवार के अलावा,बजे तक,खुल,सोमवार के अलावा,दोपहर 2 बजे से रात 8 बजे तक,3,8,के अलावा,तक,सोमवार,बजे,PROPN,NOUN,postpositional,postpositional,Preverbal,Hindi
और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,और इस तरह से,और जीवंत रूप से,और तरह से,और रूप से,तरह से,रूप से,जुड़,इस तरह से,जीवंत रूप से,3,3,से,से,तरह,रूप,NOUN,NOUN,postpositional,postpositional,Preverbal,Hindi
बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,बड़ी झील छोटी झील से,बड़ी झील एक ओवरब्रिज से,बड़ी झील झील से,बड़ी झील ओवरब्रिज से,झील से,ओवरब्रिज से,हो,छोटी झील से,एक ओवरब्रिज से,3,3,से,से,झील,ओवरब्रिज,PROPN,NOUN,postpositional,postpositional,Preverbal,Hindi
"ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरसों बरस पीछे , मध्यकाल के एक शहर में .","ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरसों बरस पीछे","ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं , मध्यकाल के एक शहर में","ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरस पीछे","ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं शहर में",बरस पीछे,शहर में,चल,बरसों बरस पीछे,", मध्यकाल के एक शहर में",3,6,पीछे,में,बरस,शहर,NOUN,NOUN,postpositional,postpositional,Postverbal,Hindi
इसकी मजबूत दीवारों के साथ नाजुकी से बनी हुई छतरियाँ कमाल का संतुलन बनाती हैं और इससे पूरी इमारत अत्यंत समृद्धिपूर्ण प्रभाव देती है ।,इसकी मजबूत दीवारों के साथ,नाजुकी से,दीवारों के साथ,नाजुकी से,दीवार के साथ,नाजुकी से,बन,इसकी मजबूत दीवारों के साथ,नाजुकी से,5,2,के साथ,से,दीवार,नाजुकी,NOUN,NOUN,postpositional,postpositional,Preverbal,Hindi
यह दर्शकों के लिए बैठक व्यवस्था के रूप में बनाया गया था .,यह दर्शकों के लिए,यह बैठक व्यवस्था के रूप में,यह दर्शकों के लिए,यह व्यवस्था के रूप में,दर्शक के लिए,व्यवस्था के रूप में,बना,दर्शकों के लिए,बैठक व्यवस्था के रूप में,3,5,के लिए,के रूप में,दर्शक,व्यवस्था,NOUN,NOUN,postpositional,postpositional,Preverbal,Hindi
"इंदौर , धार , महू , उज्जैन और भोपाल से नियमित बस सेवा द्वारा यहाँ तक पहुँचा जा सकता है ।","इंदौर , धार , महू , उज्जैन और भोपाल से नियमित बस सेवा द्वारा","इंदौर , धार , महू , उज्जैन और भोपाल से यहाँ तक","इंदौर , धार , महू , उज्जैन और भोपाल से सेवा द्वारा","इंदौर , धार , महू , उज्जैन और भोपाल से यहाँ तक",सेवा द्वारा,यहाँ तक,पहुँच,नियमित बस सेवा द्वारा,यहाँ तक,4,2,द्वारा,तक,सेवा,यहाँ,NOUN,PRON,postpositional,postpositional,Preverbal,Hindi
ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने एक साल तक,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने साल तक,तलहटी में,साल तक,डाल,तलहटी में,एक साल तक,2,3,में,तक,तलहटी,साल,NOUN,NOUN,postpositional,postpositional,Preverbal,Hindi
सन् 1192 में पृथ्वीराज चौहान के पोते गोविंदा ने इस पर राज किया था ।,सन् 1192 में,इस पर,1192 में,इस पर,1192 में,यह पर,कर,सन् 1192 में,इस पर,3,2,में,पर,1192,यह,PROPN,PRON,postpositional,postpositional,Preverbal,Hindi
बाद में एक वर्ष तक घेरा डालकर 1301 में इसे जीता ।,बाद में,1301 में,बाद में,1301 में,बाद में,1301 में,जीत,बाद में,1301 में,2,2,में,में,बाद,1301,ADV,PROPN,postpositional,postpositional,Preverbal,Hindi
