Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
ja upam da boste tudi vi kdaj prišli eee na svoj račun v naših nagradnih igrah no saj že danes začenjamo eno novo ne,ja upam da boste tudi vi kdaj prišli eee na svoj račun,ja upam da boste tudi vi kdaj prišli v naših nagradnih igrah,ja upam da boste tudi vi kdaj prišli na račun,ja upam da boste tudi vi kdaj prišli v igrah,na račun,v igra,priti,eee na svoj račun,v naših nagradnih igrah,4,4,na,v,račun,igra,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian_Spoken
gospa [name:personal] [name:surname] [name:surname] je mmm še vedno mmm z mano v studiu,gospa [name:personal] [name:surname] [name:surname] je mmm še vedno mmm z mano,gospa [name:personal] [name:surname] [name:surname] je mmm še vedno v studiu,gospa [name:personal] [name:surname] [name:surname] je mmm še vedno z mano,gospa [name:personal] [name:surname] [name:surname] je mmm še vedno v studiu,z jaz,v studio,biti,mmm z mano,v studiu,3,2,z,v,jaz,studio,PRON,NOUN,prepositional,prepositional,Postverbal,Slovenian_Spoken
vi morate vedeti da eee nekdo ki želi nekoga umoriti kot so nekateri patološki morilci ki so v zadnjem času eden je tudi pred nekaj časa v sloveniji moril,vi morate vedeti da eee nekdo ki želi nekoga umoriti kot so nekateri patološki morilci ki so v zadnjem času eden je tudi pred nekaj časa,vi morate vedeti da eee nekdo ki želi nekoga umoriti kot so nekateri patološki morilci ki so v zadnjem času eden je tudi v sloveniji,vi morate vedeti da eee nekdo ki želi nekoga umoriti kot so nekateri patološki morilci ki so v zadnjem času eden je tudi pred časa,vi morate vedeti da eee nekdo ki želi nekoga umoriti kot so nekateri patološki morilci ki so v zadnjem času eden je tudi v sloveniji,pred čas,v Slovenija,moriti,pred nekaj časa,v sloveniji,3,2,pred,v,čas,Slovenija,NOUN,PROPN,prepositional,prepositional,Preverbal,Slovenian_Spoken
no in potem so eee na kranjski koči na ledinah jim je ravnokar odpovedala oskrbnica in sem pri devetnajstih letih ljubljančanka z ruzakom prišla gor in sem bila kar naenkrat en mesec pa pol tam oskrbnica,no in potem so eee na kranjski koči na ledinah jim je ravnokar odpovedala oskrbnica in sem pri devetnajstih letih,no in potem so eee na kranjski koči na ledinah jim je ravnokar odpovedala oskrbnica in sem z ruzakom,no in potem so eee na kranjski koči na ledinah jim je ravnokar odpovedala oskrbnica in sem pri letih,no in potem so eee na kranjski koči na ledinah jim je ravnokar odpovedala oskrbnica in sem z ruzakom,pri leto,z ruzak,priti,pri devetnajstih letih,z ruzakom,3,2,pri,z,leto,ruzak,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian_Spoken
na faksu se bom tam k enemu radiatorju stisnil pa bo,na faksu,k enemu radiatorju,na faksu,k radiatorju,na faks,k radiator,stisniti,na faksu,k enemu radiatorju,2,3,na,k,faks,radiator,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian_Spoken
ja e [gap] če smo že prvega mentorja uvedli [gap] eee omenili ne to je bil eee zlatko verzelak eee sem potem naslednje leto ko je ta skupina tu razpadla v bistrici sodeloval z enim eee lutkovnim režiserjem in tudi bivšim direktorjem lutkovnega gledališča maribor gospodom bojanom čebuljem na ptuju,ja e [gap] če smo že prvega mentorja uvedli [gap] eee omenili ne to je bil eee zlatko verzelak eee sem potem naslednje leto ko je ta skupina tu razpadla v bistrici sodeloval z enim eee lutkovnim režiserjem in tudi bivšim direktorjem lutkovnega gledališča maribor gospodom bojanom čebuljem,ja e [gap] če smo že prvega mentorja uvedli [gap] eee omenili ne to je bil eee zlatko verzelak eee sem potem naslednje leto ko je ta skupina tu razpadla v bistrici sodeloval na ptuju,ja e [gap] če smo že prvega mentorja uvedli [gap] eee omenili ne to je bil eee zlatko verzelak eee sem potem naslednje leto ko je ta skupina tu razpadla v bistrici sodeloval z režiserjem,ja e [gap] če smo že prvega mentorja uvedli [gap] eee omenili ne to je bil eee zlatko verzelak eee sem potem naslednje leto ko je ta skupina tu razpadla v bistrici sodeloval na ptuju,z režiser,na Ptuj,sodelovati,z enim eee lutkovnim režiserjem in tudi bivšim direktorjem lutkovnega gledališča maribor gospodom bojanom čebuljem,na ptuju,15,2,z,na,režiser,Ptuj,NOUN,PROPN,prepositional,prepositional,Postverbal,Slovenian_Spoken
[:voice] to je bila ena tako po [gap] polprofesionalna lutkovna skupina ki s [gap] mmm z predstavo kar uspeli in eee takrat sem tudi dejansko prvič videl da pa v bistvu mmm nekako eee z d [gap] zadostnim številom predstav eee da pa se tukaj nekaj bi pa tudi finančno dalo kaj pokriti,[:voice] to je bila ena tako po [gap] polprofesionalna lutkovna skupina ki s [gap] mmm z predstavo kar uspeli in eee takrat sem tudi dejansko prvič videl da pa v bistvu,[:voice] to je bila ena tako po [gap] polprofesionalna lutkovna skupina ki s [gap] mmm z predstavo kar uspeli in eee takrat sem tudi dejansko prvič videl da pa z d [gap] zadostnim številom predstav,[:voice] to je bila ena tako po [gap] polprofesionalna lutkovna skupina ki s [gap] mmm z predstavo kar uspeli in eee takrat sem tudi dejansko prvič videl da pa v bistvu,[:voice] to je bila ena tako po [gap] polprofesionalna lutkovna skupina ki s [gap] mmm z predstavo kar uspeli in eee takrat sem tudi dejansko prvič videl da pa z številom,v bistvo,z število,dati,v bistvu,z d [gap] zadostnim številom predstav,2,6,v,z,bistvo,število,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian_Spoken
pa vendarle sama sem poskušala tudi priti v stik z nekaterimi družinami preko telefona s katerimi sem prej v gazi naredila nekaj pogovorov,pa vendarle sama sem poskušala tudi priti v stik z nekaterimi družinami preko telefona s katerimi,pa vendarle sama sem poskušala tudi priti v stik z nekaterimi družinami preko telefona v gazi,pa vendarle sama sem poskušala tudi priti v stik z nekaterimi družinami preko telefona s katerimi,pa vendarle sama sem poskušala tudi priti v stik z nekaterimi družinami preko telefona v gazi,z kateri,v Gaza,narediti,s katerimi,v gazi,2,2,z,v,kateri,Gaza,DET,PROPN,prepositional,prepositional,Preverbal,Slovenian_Spoken
za nastanitev v študentskih … tako in da se ji pove da [name:personal] [name:surname] je eee v bistvu samo za erasmus študente ona nima z njihovo tržno eee oddajo nič ne … [name:personal] [name:surname] ja,za nastanitev v študentskih … tako in da se ji pove da [name:personal] [name:surname] je eee v bistvu,za nastanitev v študentskih … tako in da se ji pove da [name:personal] [name:surname] je za erasmus študente,za nastanitev v študentskih … tako in da se ji pove da [name:personal] [name:surname] je v bistvu,za nastanitev v študentskih … tako in da se ji pove da [name:personal] [name:surname] je za študente,v bistvo,za študent,biti,eee v bistvu,za erasmus študente,3,3,v,za,bistvo,študent,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian_Spoken
ja samo vprašanje kdo je to v resnici izza tega ne,ja samo vprašanje kdo je to v resnici,ja samo vprašanje kdo je to izza tega,ja samo vprašanje kdo je to v resnici,ja samo vprašanje kdo je to izza tega,v resnica,izza ta,biti,v resnici,izza tega,2,2,v,izza,resnica,ta,NOUN,DET,prepositional,prepositional,Postverbal,Slovenian_Spoken
a se bomo kot irci v časih krompirjeve lakote selili s trebuhom za kruhom ?,a se bomo kot irci v časih krompirjeve lakote selili s trebuhom,a se bomo kot irci v časih krompirjeve lakote selili za kruhom,a se bomo kot irci v časih krompirjeve lakote selili s trebuhom,a se bomo kot irci v časih krompirjeve lakote selili za kruhom,z trebuh,za kruh,seliti,s trebuhom,za kruhom,2,2,z,za,trebuh,kruh,NOUN,NOUN,prepositional,prepositional,Postverbal,Slovenian_Spoken
iz postaje na postajo motor skozi ali pospešuje pol zavira gre energija v nič a ne,iz postaje,na postajo,iz postaje,na postajo,iz postaja,na postaja,pospeševati,iz postaje,na postajo,2,2,iz,na,postaja,postaja,NOUN,NOUN,prepositional,prepositional,Preverbal,Slovenian_Spoken
